,gene_name,start,stop,strand,gene_product,cog,uniprot,regulator,accession,ncbi_protein,new_locus_tag,new_accession,operon
ABUW_0506,ABUW_0506,516121,517344,-,GGDEF domain protein,Signal transduction mechanisms,,,CP008706.1,AKA30283.1,ABUW_RS02485,NZ_CP008706.1,Op269
ABUW_0507,ABUW_0507,517350,517853,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30284.1,ABUW_RS02490,NZ_CP008706.1,Op270
ABUW_0513,ABUW_0513,523942,525315,-,FAD-dependent pyridine nucleotide- disulfide oxidoreductase,Energy production and conversion,,,CP008706.1,AKA30285.1,ABUW_RS02520,NZ_CP008706.1,Op271
ABUW_0514,ABUW_0514,525402,526595,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30286.1,ABUW_RS02525,NZ_CP008706.1,Op272
ABUW_0515,ABUW_0515,526947,527282,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30287.1,ABUW_RS02530,NZ_CP008706.1,Op273
ABUW_0516,ABUW_0516,527475,528371,+,alpha/beta fold family hydrolase,Function unknown,,,CP008706.1,AKA30288.1,ABUW_RS02535,NZ_CP008706.1,Op274
ABUW_0517,thi3,528372,528809,+,thioredoxin,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA30289.1,ABUW_RS02540,NZ_CP008706.1,Op274
ABUW_0518,ABUW_0518,528811,529233,+,hypothetical protein,Lipid transport and metabolism,,,CP008706.1,AKA30290.1,ABUW_RS02545,NZ_CP008706.1,Op274
ABUW_0519,ABUW_0519,529273,529767,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA30291.1,ABUW_RS02550,NZ_CP008706.1,Op275
ABUW_0520,ABUW_0520,529803,530291,-,nucleotide-binding protein,Function unknown,,,CP008706.1,AKA30292.1,ABUW_RS02555,NZ_CP008706.1,Op275
ABUW_0521,ABUW_0521,530383,530697,+,rhodanese domain protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA30293.1,ABUW_RS02560,NZ_CP008706.1,
ABUW_0522,ABUW_0522,530749,532620,-,hypothetical protein,Coenzyme transport and metabolism,,,CP008706.1,AKA30294.1,ABUW_RS02565,NZ_CP008706.1,Op276
ABUW_0523,ABUW_0523,532644,533123,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30295.1,ABUW_RS02570,NZ_CP008706.1,Op276
ABUW_0524,ABUW_0524,533128,533430,-,YCII-related protein,Function unknown,,,CP008706.1,AKA30296.1,ABUW_RS02575,NZ_CP008706.1,Op276
ABUW_0525,ispZ,533465,534079,-,intracellular septation protein A,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA30297.1,ABUW_RS02580,NZ_CP008706.1,Op276
ABUW_0526,ABUW_0526,534124,534975,+,PHP domain protein,Function unknown,,,CP008706.1,AKA30298.1,ABUW_RS02585,NZ_CP008706.1,
ABUW_0527,ABUW_0527,534983,535894,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30299.1,ABUW_RS02590,NZ_CP008706.1,Op277
ABUW_0528,radC,535956,536663,-,DNA repair protein RadC,Amino acid transport and metabolism,,,CP008706.1,AKA30300.1,ABUW_RS02595,NZ_CP008706.1,Op278
ABUW_0529,coaBC,536776,538029,+,phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase,Coenzyme transport and metabolism,,,CP008706.1,AKA30301.1,ABUW_RS02600,NZ_CP008706.1,
ABUW_0530,secF,538095,539060,-,protein-export membrane protein SecF,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA30302.1,ABUW_RS02605,NZ_CP008706.1,Op279
ABUW_0531,secD,539069,540970,-,protein-export membrane protein SecD,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA30303.1,ABUW_RS02610,NZ_CP008706.1,Op279
ABUW_0532,yajC,541022,541351,-,preprotein translocase%2C YajC subunit,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA30304.1,ABUW_RS02615,NZ_CP008706.1,Op280
ABUW_0533,tgt,541450,542583,-,queuine tRNA-ribosyltransferase,Nucleotide transport and metabolism,,,CP008706.1,AKA30305.1,ABUW_RS02620,NZ_CP008706.1,Op281
ABUW_0534,ABUW_0534,542759,543328,-,LemA family,Function unknown,,,CP008706.1,AKA30306.1,ABUW_RS02625,NZ_CP008706.1,Op282
ABUW_0535,ABUW_0535,543415,544443,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30307.1,ABUW_RS02630,NZ_CP008706.1,Op283
ABUW_0536,queA,544597,545634,-,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30308.1,ABUW_RS02635,NZ_CP008706.1,Op284
ABUW_0538,ABUW_0538,546080,547147,+,integrase,"Replication, recombination and repair",,Phage region 1,CP008706.1,AKA30309.1,ABUW_RS02645,NZ_CP008706.1,Op285
ABUW_0539,ABUW_0539,547175,547471,-,hypothetical protein,No COG annotation,,Phage region 1,CP008706.1,AKA30310.1,ABUW_RS02650,NZ_CP008706.1,Op286
ABUW_0540,ABUW_0540,547468,547689,-,hypothetical protein,No COG annotation,,Phage region 1,CP008706.1,AKA30311.1,ABUW_RS02655,NZ_CP008706.1,Op286
ABUW_0541,ABUW_0541,547699,548436,-,DNA exonuclease,"Replication, recombination and repair",,Phage region 1,CP008706.1,AKA30312.1,ABUW_RS02660,NZ_CP008706.1,Op286
ABUW_0542,ABUW_0542,548446,548799,-,single-stranded DNA-binding protein,"Replication, recombination and repair",,Phage region 1,CP008706.1,AKA30313.1,ABUW_RS02665,NZ_CP008706.1,Op286
ABUW_0543,ABUW_0543,548787,549104,-,hypothetical protein,No COG annotation,,Phage region 1,CP008706.1,AKA30314.1,ABUW_RS02670,NZ_CP008706.1,Op286
ABUW_0544,ABUW_0544,549097,549267,-,hypothetical protein,No COG annotation,,Phage region 1,CP008706.1,AKA30315.1,ABUW_RS20420,NZ_CP008706.1,Op286
ABUW_0545,ABUW_0545,549257,549835,-,hypothetical protein,No COG annotation,,Phage region 1,CP008706.1,AKA30316.1,ABUW_RS02675,NZ_CP008706.1,Op286
ABUW_0546,ABUW_0546,549874,550206,-,hypothetical protein,No COG annotation,,Phage region 1,CP008706.1,AKA30317.1,ABUW_RS02680,NZ_CP008706.1,Op287
ABUW_0547,ABUW_0547,550203,552941,-,hypothetical protein,"Replication, recombination and repair",,Phage region 1,CP008706.1,AKA30318.1,ABUW_RS02685,NZ_CP008706.1,Op287
ABUW_0548,ABUW_0548,553035,553226,-,hypothetical protein,No COG annotation,,Phage region 1,CP008706.1,AKA30319.1,ABUW_RS02690,NZ_CP008706.1,Op288
ABUW_0549,ABUW_0549,553319,553660,+,hypothetical protein,Transcription,,Phage region 1,CP008706.1,AKA30320.1,ABUW_RS02695,NZ_CP008706.1,
ABUW_0550,ABUW_0550,553705,553920,-,hypothetical protein,No COG annotation,,Phage region 1,CP008706.1,AKA30321.1,ABUW_RS02700,NZ_CP008706.1,Op289
ABUW_0551,ABUW_0551,554045,554860,-,Rha family transcriptional regulator,Function unknown,,Phage region 1,CP008706.1,AKA30322.1,ABUW_RS02705,NZ_CP008706.1,Op290
ABUW_0552,ABUW_0552,554968,555162,-,hypothetical protein,No COG annotation,,Phage region 1,CP008706.1,AKA30323.1,ABUW_RS02710,NZ_CP008706.1,Op291
ABUW_0553,ABUW_0553,555472,556350,+,NAD-dependent DNA ligase,"Replication, recombination and repair",,Phage region 1,CP008706.1,AKA30324.1,ABUW_RS02715,NZ_CP008706.1,Op292
ABUW_0554,ABUW_0554,556350,556631,+,hypothetical protein,No COG annotation,,Phage region 1,CP008706.1,AKA30325.1,ABUW_RS02720,NZ_CP008706.1,Op292
ABUW_0555,ABUW_0555,556947,557165,-,hypothetical protein,Function unknown,,Phage region 1,CP008706.1,AKA30326.1,ABUW_RS02730,NZ_CP008706.1,Op293
ABUW_0556,ABUW_0556,557144,557383,-,phage zinc-binding transcriptional activator,Function unknown,,Phage region 1,CP008706.1,AKA30327.1,ABUW_RS02735,NZ_CP008706.1,Op293
ABUW_0557,ABUW_0557,557513,558826,-,phage late control protein D,Function unknown,,Phage region 1,CP008706.1,AKA30328.1,ABUW_RS02740,NZ_CP008706.1,Op294
ABUW_0558,ABUW_0558,558827,559267,-,phage tail protein,Function unknown,,Phage region 1,CP008706.1,AKA30329.1,ABUW_RS02745,NZ_CP008706.1,Op294
ABUW_0559,ABUW_0559,559273,561723,-,phage-related membrane protein,"Cell cycle control, cell division, chromosome partitioning",,Phage region 1,CP008706.1,AKA30330.1,ABUW_RS02750,NZ_CP008706.1,Op294
ABUW_0561,ABUW_0561,561809,562243,-,transposase,"Replication, recombination and repair",,Phage region 1,CP008706.1,AKA30331.1,,,
ABUW_0562,ABUW_0562,562330,562899,-,transposase inhibitor,"Replication, recombination and repair",,Phage region 1,CP008706.1,AKA30332.1,,,
ABUW_0563,ABUW_0563,562998,563819,+,beta-lactamase OXA-23,Cell wall/membrane/envelope biogenesis,,"Phage region 1,AbaM",CP008706.1,AKA30333.1,ABUW_RS02765,NZ_CP008706.1,
ABUW_0564,ABUW_0564,563924,564565,-,AAA ATPase,Function unknown,,Phage region 1,CP008706.1,AKA30334.1,ABUW_RS02770,NZ_CP008706.1,Op295
ABUW_0565,ABUW_0565,564679,565020,-,phage tail protein,Function unknown,,"Phage region 1,AbaM",CP008706.1,AKA30335.1,ABUW_RS02775,NZ_CP008706.1,Op295
ABUW_0566,ABUW_0566,565087,565605,-,phage tail tube protein,Function unknown,,"Phage region 1,ABUW_1645",CP008706.1,AKA30336.1,ABUW_RS02780,NZ_CP008706.1,Op296
ABUW_0567,ABUW_0567,565618,566793,-,phage tail sheath protein,Function unknown,,Phage region 1,CP008706.1,AKA30337.1,ABUW_RS02785,NZ_CP008706.1,Op296
ABUW_0568,ABUW_0568,566943,568895,-,phage tail fiber protein,Function unknown,,Phage region 1,CP008706.1,AKA30338.1,ABUW_RS02790,NZ_CP008706.1,Op297
ABUW_0569,ABUW_0569,568907,569512,-,phage tail protein,Function unknown,,Phage region 1,CP008706.1,AKA30339.1,ABUW_RS02795,NZ_CP008706.1,Op297
ABUW_0570,ABUW_0570,569512,570414,-,phage baseplate assembly protein,Function unknown,,Phage region 1,CP008706.1,AKA30340.1,ABUW_RS02800,NZ_CP008706.1,Op297
ABUW_0571,ABUW_0571,570411,570758,-,phage baseplate assembly protein,Function unknown,,Phage region 1,CP008706.1,AKA30341.1,ABUW_RS02805,NZ_CP008706.1,Op297
ABUW_0572,ABUW_0572,570755,571387,-,phage baseplate assembly protein,Function unknown,,Phage region 1,CP008706.1,AKA30342.1,ABUW_RS02810,NZ_CP008706.1,Op297
ABUW_0573,ABUW_0573,571460,571909,-,phage tail completion protein,Function unknown,,Phage region 1,CP008706.1,AKA30343.1,ABUW_RS02815,NZ_CP008706.1,Op298
ABUW_0574,ABUW_0574,571906,572433,-,phage tail completion protein,Function unknown,,Phage region 1,CP008706.1,AKA30344.1,ABUW_RS02820,NZ_CP008706.1,Op298
ABUW_0575,ABUW_0575,572430,573272,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,,Phage region 1,CP008706.1,AKA30345.1,ABUW_RS02825,NZ_CP008706.1,Op298
ABUW_0576,ABUW_0576,573257,573526,-,phage-related membrane protein,Function unknown,,Phage region 1,CP008706.1,AKA30346.1,ABUW_RS02830,NZ_CP008706.1,Op298
ABUW_0577,ABUW_0577,573523,573891,-,phage-related membrane protein,Function unknown,,Phage region 1,CP008706.1,AKA30347.1,ABUW_RS02835,NZ_CP008706.1,Op298
ABUW_0578,ABUW_0578,573882,574091,-,phage tail protein,Function unknown,,Phage region 1,CP008706.1,AKA30348.1,ABUW_RS02840,NZ_CP008706.1,Op298
ABUW_0579,ABUW_0579,574092,574595,-,phage head completion protein,Function unknown,,Phage region 1,CP008706.1,AKA30349.1,ABUW_RS02845,NZ_CP008706.1,Op298
ABUW_0580,ABUW_0580,574648,575394,-,phage small terminase subunit,Function unknown,,Phage region 1,CP008706.1,AKA30350.1,ABUW_RS02850,NZ_CP008706.1,Op299
ABUW_0581,ABUW_0581,575405,576415,-,capsid protein,Function unknown,,Phage region 1,CP008706.1,AKA30351.1,ABUW_RS02855,NZ_CP008706.1,Op299
ABUW_0582,ABUW_0582,576447,577274,-,capsid scaffolding protein,Function unknown,,Phage region 1,CP008706.1,AKA30352.1,ABUW_RS02860,NZ_CP008706.1,Op300
ABUW_0583,ABUW_0583,577406,579220,+,phage-related terminase,Function unknown,,Phage region 1,CP008706.1,AKA30353.1,ABUW_RS02865,NZ_CP008706.1,Op301
ABUW_0584,ABUW_0584,579220,580218,+,phage-related portal protein,Function unknown,,Phage region 1,CP008706.1,AKA30354.1,ABUW_RS02870,NZ_CP008706.1,Op301
ABUW_0585,ABUW_0585,581551,582819,+,two-component system histidine kinase sensor component,Signal transduction mechanisms,,,CP008706.1,AKA30355.1,ABUW_RS02875,NZ_CP008706.1,Op302
ABUW_0586,glnE,582888,585638,+,glutamate-ammonia-ligase adenylyltransferase,Coenzyme transport and metabolism,,,CP008706.1,AKA30356.1,ABUW_RS02880,NZ_CP008706.1,Op303
ABUW_0587,ilvE,585663,586589,+,branched-chain amino acid aminotransferase,Amino acid transport and metabolism,,,CP008706.1,AKA30357.1,ABUW_RS02885,NZ_CP008706.1,Op303
ABUW_0588,ABUW_0588,586657,587547,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30358.1,ABUW_RS02890,NZ_CP008706.1,Op304
ABUW_0589,ABUW_0589,587570,588598,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30359.1,ABUW_RS02895,NZ_CP008706.1,Op304
ABUW_0590,ABUW_0590,588595,589350,+,putative polysaccharide deacetylase,Carbohydrate transport and metabolism,,,CP008706.1,AKA30360.1,ABUW_RS02900,NZ_CP008706.1,Op304
ABUW_0591,ABUW_0591,589347,590111,+,glycosyltransferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30361.1,ABUW_RS02905,NZ_CP008706.1,Op304
ABUW_0592,ABUW_0592,590123,591157,+,glycosyltransferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30362.1,ABUW_RS02910,NZ_CP008706.1,Op304
ABUW_0593,ABUW_0593,591154,592047,-,hypothetical protein,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30363.1,ABUW_RS02915,NZ_CP008706.1,Op305
ABUW_0594,ABUW_0594,592066,592881,-,LPS glycosyltransferase subfamily,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30364.1,ABUW_RS02920,NZ_CP008706.1,Op305
ABUW_0595,ABUW_0595,593061,594188,+,UDP-N-acetylglucosamine 2-epimerase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30365.1,ABUW_RS02925,NZ_CP008706.1,
ABUW_0596,ABUW_0596,594190,594963,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30366.1,ABUW_RS02930,NZ_CP008706.1,Op306
ABUW_0597,ABUW_0597,595024,595239,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30367.1,ABUW_RS02935,NZ_CP008706.1,Op307
ABUW_0598,aspS,595379,597157,-,aspartyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30368.1,ABUW_RS02940,NZ_CP008706.1,Op308
ABUW_0599,ABUW_0599,597328,598092,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30369.1,ABUW_RS02945,NZ_CP008706.1,Op309
ABUW_0600,ABUW_0600,598228,600303,+,TonB-dependent receptor,Inorganic ion transport and metabolism,,"Zur,Zur",CP008706.1,AKA30370.1,ABUW_RS02950,NZ_CP008706.1,Op310
ABUW_0601,ABUW_0601,600379,601842,+,phospholipase D,Lipid transport and metabolism,,,CP008706.1,AKA30371.1,ABUW_RS02955,NZ_CP008706.1,Op311
ABUW_0602,ABUW_0602,602037,602483,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30372.1,ABUW_RS02960,NZ_CP008706.1,
ABUW_0603,ABUW_0603,602648,603031,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30373.1,ABUW_RS02965,NZ_CP008706.1,
ABUW_0604,ABUW_0604,603069,603551,-,phosphate-starvation-inducible E,Function unknown,,,CP008706.1,AKA30374.1,ABUW_RS02970,NZ_CP008706.1,Op312
ABUW_0605,acdA,603670,605451,-,acyl-CoA dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA30375.1,ABUW_RS02975,NZ_CP008706.1,Op313
ABUW_0606,acdB1,605619,607421,-,acyl-CoA dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA30376.1,ABUW_RS02980,NZ_CP008706.1,Op314
ABUW_0607,ABUW_0607,607711,608091,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30377.1,ABUW_RS02985,NZ_CP008706.1,Op315
ABUW_0608,baeS,608325,609881,+,two component signal transduction system kinase sensor component,Signal transduction mechanisms,,,CP008706.1,AKA30378.1,ABUW_RS02990,NZ_CP008706.1,Op316
ABUW_0609,baeR,609901,610587,+,two component signal transduction system response regulator,Transcription,,,CP008706.1,AKA30379.1,ABUW_RS02995,NZ_CP008706.1,Op316
ABUW_0610,ABUW_0610,610651,612093,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30380.1,ABUW_RS03000,NZ_CP008706.1,Op317
ABUW_0611,ABUW_0611,612207,613379,-,stearoyl-CoA 9-desaturase,Lipid transport and metabolism,,,CP008706.1,AKA30381.1,ABUW_RS03005,NZ_CP008706.1,Op318
ABUW_0612,ABUW_0612,613588,614118,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA30382.1,ABUW_RS03010,NZ_CP008706.1,
ABUW_0613,ABUW_0613,614147,614860,-,glycerophosphoryl diester phosphodiesterase,Energy production and conversion,,,CP008706.1,AKA30383.1,ABUW_RS03015,NZ_CP008706.1,Op319
ABUW_0614,ABUW_0614,614933,615511,-,cobalamin adenosyltransferase,Function unknown,,,CP008706.1,AKA30384.1,ABUW_RS03020,NZ_CP008706.1,Op320
ABUW_0615,ABUW_0615,615607,617481,-,vitamin B12 receptor,Inorganic ion transport and metabolism,,,CP008706.1,AKA30385.1,ABUW_RS03025,NZ_CP008706.1,Op321
ABUW_0616,trpF,617839,618498,+,phosphoribosylanthranilate isomerase,Amino acid transport and metabolism,,,CP008706.1,AKA30386.1,ABUW_RS03030,NZ_CP008706.1,Op322
ABUW_0617,trpB1,618482,619711,+,tryptophan synthase%2C beta subunit,Amino acid transport and metabolism,,,CP008706.1,AKA30387.1,ABUW_RS03035,NZ_CP008706.1,Op322
ABUW_0618,ABUW_0618,619721,620233,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30388.1,ABUW_RS03040,NZ_CP008706.1,Op322
ABUW_0619,ABUW_0619,620271,621266,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30389.1,ABUW_RS03045,NZ_CP008706.1,Op322
ABUW_0620,ABUW_0620,621275,622150,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30390.1,ABUW_RS03050,NZ_CP008706.1,
ABUW_0621,ABUW_0621,622271,623320,+,transcriptional regulator%2C AraC family,Transcription,,,CP008706.1,AKA30391.1,ABUW_RS03055,NZ_CP008706.1,Op323
ABUW_0622,trpA,623565,624368,+,tryptophan synthase%2C alpha subunit,Amino acid transport and metabolism,,,CP008706.1,AKA30392.1,ABUW_RS03060,NZ_CP008706.1,Op324
ABUW_0623,accD,624365,625261,+,acetyl-CoA carboxylase%2C carboxyl transferase%2C beta subunit,Lipid transport and metabolism,,,CP008706.1,AKA30393.1,ABUW_RS03065,NZ_CP008706.1,Op324
ABUW_0624,folC,625258,626544,+,folylpolyglutamate synthetase/dihydrofolate synthase,Coenzyme transport and metabolism,,,CP008706.1,AKA30394.1,ABUW_RS03070,NZ_CP008706.1,Op324
ABUW_0625,ABUW_0625,626535,627605,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30395.1,ABUW_RS03075,NZ_CP008706.1,Op324
ABUW_0626,ABUW_0626,627624,628202,-,protein tyrosine/serine phosphatase,Signal transduction mechanisms,,,CP008706.1,AKA30396.1,ABUW_RS03080,NZ_CP008706.1,Op325
ABUW_0627,ABUW_0627,628199,629101,-,metallo-beta-lactamase superfamily protein,Function unknown,,,CP008706.1,AKA30397.1,ABUW_RS03085,NZ_CP008706.1,Op326
ABUW_0628,ABUW_0628,629273,629914,-,peroxidase,"Post-translational modification, protein turnover,and chaperones",,ABUW_1645,CP008706.1,AKA30398.1,ABUW_RS03090,NZ_CP008706.1,Op327
ABUW_0629,secA,630322,633045,+,preprotein translocase%2C SecA subunit,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA30399.1,ABUW_RS03095,NZ_CP008706.1,Op328
ABUW_0630,ABUW_0630,633178,633621,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30400.1,ABUW_RS03100,NZ_CP008706.1,Op329
ABUW_0631,ABUW_0631,633688,634998,-,metabolite transport protein,Amino acid transport and metabolism,,,CP008706.1,AKA30401.1,ABUW_RS03105,NZ_CP008706.1,Op330
ABUW_0632,ABUW_0632,635133,635762,-,hemolysin-3,Function unknown,,FabR,CP008706.1,AKA30402.1,ABUW_RS03110,NZ_CP008706.1,Op331
ABUW_0633,ABUW_0633,635874,637112,+,putative methyltransferase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30403.1,ABUW_RS03115,NZ_CP008706.1,Op332
ABUW_0634,ABUW_0634,637125,637544,+,acetyltransferase%2C gnat family,Function unknown,,,CP008706.1,AKA30404.1,ABUW_RS03120,NZ_CP008706.1,Op332
ABUW_0635,ABUW_0635,637574,638434,-,phospholipase%2C patatin family,Function unknown,,,CP008706.1,AKA30405.1,ABUW_RS03125,NZ_CP008706.1,Op333
ABUW_0636,ABUW_0636,638450,638704,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30406.1,ABUW_RS03130,NZ_CP008706.1,Op333
ABUW_0637,ABUW_0637,638869,641004,-,3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA30407.1,ABUW_RS03135,NZ_CP008706.1,Op334
ABUW_0638,ABUW_0638,641025,642230,-,acetyl-CoA acetyltransferase,Lipid transport and metabolism,,,CP008706.1,AKA30408.1,ABUW_RS03140,NZ_CP008706.1,Op334
ABUW_0639,ABUW_0639,642400,643410,-,transcriptional regulator%2C AraC family,Transcription,,,CP008706.1,AKA30409.1,ABUW_RS03145,NZ_CP008706.1,Op335
ABUW_0640,ABUW_0640,643621,644739,+,alpha-methylacyl-CoA racemase,Energy production and conversion,,,CP008706.1,AKA30410.1,ABUW_RS03150,NZ_CP008706.1,Op336
ABUW_0641,ABUW_0641,644875,646128,+,porin B,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30411.1,ABUW_RS03155,NZ_CP008706.1,Op337
ABUW_0642,gcd,646302,648707,+,glucose dehydrogenase,Carbohydrate transport and metabolism,,,CP008706.1,AKA30412.1,ABUW_RS03160,NZ_CP008706.1,Op338
ABUW_0643,cysI,648874,650517,+,sulfite reductase,Energy production and conversion,,GigC,CP008706.1,AKA30413.1,ABUW_RS03165,NZ_CP008706.1,Op339
ABUW_0644,ABUW_0644,650510,650995,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30414.1,ABUW_RS03170,NZ_CP008706.1,Op339
ABUW_0645,ABUW_0645,651078,651431,+,quaternary ammonium compound-resistance protein,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA30415.1,ABUW_RS03175,NZ_CP008706.1,Op340
ABUW_0646,ABUW_0646,651474,651917,-,hypothetical protein,Function unknown,,ABUW_1645,CP008706.1,AKA30416.1,ABUW_RS03180,NZ_CP008706.1,Op341
ABUW_0647,ABUW_0647,652044,653219,-,acetyl-CoA acetyltransferase,Lipid transport and metabolism,,,CP008706.1,AKA30417.1,ABUW_RS03185,NZ_CP008706.1,Op342
ABUW_0648,ABUW_0648,653328,653843,-,type 4 fimbrial biogenesis protein FimT,Cell motility,,,CP008706.1,AKA30418.1,ABUW_RS03190,NZ_CP008706.1,Op343
ABUW_0649,ABUW_0649,654223,655284,+,outer membrane protein A,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30419.1,ABUW_RS03195,NZ_CP008706.1,
ABUW_0650,ABUW_0650,655407,655565,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30420.1,ABUW_RS20425,NZ_CP008706.1,Op344
ABUW_0651,ABUW_0651,655569,656774,-,hypothetical protein,Function unknown,,"Fur,ABUW_1645",CP008706.1,AKA30421.1,ABUW_RS03205,NZ_CP008706.1,Op344
ABUW_0652,lysP,657052,658512,-,amino-acid transport protein,Amino acid transport and metabolism,,,CP008706.1,AKA30422.1,ABUW_RS03210,NZ_CP008706.1,Op345
