,start,stop,strand,gene_name,length,operon,COG,gene_product,Unnamed: 9,Unnamed: 10,Unnamed: 11,regulator
b1276,1335830,1338506,+,acnA,2676,acnA,Energy production and conversion,aconitate hydratase 1,,,,"arcA,cra,crp,fnr,fur,marA,rob,rpoD,rpoS,soxS"
b1277,1338569,1339160,-,ribA,591,ribA,Coenzyme transport and metabolism,GTP cyclohydrolase II,,,,"rpoD,soxS"
b1278,1339329,1340094,+,pgpB,765,pgpB,Lipid transport and metabolism,phosphatidylglycerophosphatase/diacylglycerol pyrophosphate phosphatase/undecaprenyl pyrophosphate phosphatase,,,,rpoD
b1279,1340242,1340551,+,yciS,309,lapAB-pyrF-yciH,Function unknown,lipopolysaccharide assembly protein LapA,,,,"rpoD,rpoH"
b1280,1340557,1341727,+,yciM,1170,lapAB-pyrF-yciH,Carbohydrate transport and metabolism,lipopolysaccharide assembly protein LapB,,,,"rpoD,rpoH"
b1281,1341920,1342658,+,pyrF,738,lapAB-pyrF-yciH,Nucleotide transport and metabolism,orotidine-5'-phosphate decarboxylase,,,,"rpoD,rpoH"
b1282,1342657,1342984,+,yciH,327,lapAB-pyrF-yciH,"Translation, ribosomal structure and biogenesis",putative translation factor,,,,"rpoD,rpoH"
b1283,1343109,1343328,-,osmB,219,osmB,No COG Annotation,OsmB osmotically inducible lipoprotein,,,,"nac,rcsB,rpoD,rpoS"
b1284,1343596,1344346,-,yciT,750,yciZT,Transcription,DNA-binding transcriptional regulator,,,,"lrp,rpoS"
b1285,1344756,1346742,-,gmr,1986,pdeR,Signal transduction mechanisms,cyclic di-GMP phosphodiesterase,,,,"fliZ,fur,rpoS,rutR"
b1286,1346977,1348912,-,rnb,1935,rnb,Transcription,ribonuclease II,,,,rpoD
b1287,1348979,1350107,-,yciW,1128,yciW,Function unknown,predicted oxidoreductase,,,,"cysB,rpoD"
b1288,1350250,1351039,-,fabI,789,fabI,Lipid transport and metabolism,enoyl-[acyl-carrier-protein] reductase subunit,,,,fadR
b1289,1351406,1351760,-,ycjD,354,ycjD,Function unknown,conserved protein,,,,
b1290,1351827,1352634,-,sapF,807,sapABCDF,Defense mechanisms,ATP binding protein SapF of predicted ABC transporter,,,,
b1291,1352635,1353628,-,sapD,993,sapABCDF,Defense mechanisms,ATP binding protein implicated in Trk mediated K<sup>+</sup> uptake,,,,
b1292,1353627,1354518,-,sapC,891,sapABCDF,Defense mechanisms,integral membrane protein SapC of predicted ABC transporter,,,,
b1293,1354504,1355470,-,sapB,966,sapABCDF,Defense mechanisms,integral membrane protein SapB of predicted ABC transporter,,,,
b1294,1355466,1357110,-,sapA,1644,sapABCDF,Amino acid transport and metabolism,periplasmic binding protein SapA of predicted ABC transporter,,,,
b1295,1357422,1357668,-,ymjA,246,ymjA,Function unknown,putative protein,,,,nac
b1296,1357801,1359187,-,puuP,1386,puuAP,Amino acid transport and metabolism,putrescine:H<sup>+</sup> symporter PuuP,,,,"arcA,fnr,puuR,rpoN,rpoS"
b1297,1359489,1360908,-,puuA,1419,puuAP,Amino acid transport and metabolism,glutamate-putrescine ligase,,,,"arcA,fnr,puuR,rpoS"
b1298,1361119,1361884,+,puuD,765,puuDRCBE,Function unknown,&gamma,-glutamyl-&gamma,-aminobutyrate hydrolase,,"arcA,crp,puuR,rpoS"
b1299,1361910,1362468,+,puuR,558,puuDRCBE,Transcription,PuuR DNA-binding transcriptional repressor,,,,"arcA,crp,puuR,rpoS"
b1300,1362742,1364230,+,puuC,1488,puuDRCBE,Energy production and conversion,&gamma,-glutamyl-&gamma,-aminobutyraldehyde dehydrogenase,,"arcA,crp,puuR,rpoS"
b1301,1364231,1365512,+,puuB,1281,puuDRCBE,Energy production and conversion,&gamma,-glutamylputrescine oxidase,,,"arcA,argR,crp,puuR,rpoS"
b1302,1365549,1366815,+,puuE,1266,puuDRCBE,Amino acid transport and metabolism,4-aminobutyrate aminotransferase,,,,"arcA,argR,crp,puuR,rpoS"
b1303,1366934,1367912,-,pspF,978,pspF,Transcription,PspF DNA-binding transcriptional dual regulator,,,,"pspF,rpoD"
b1304,1368078,1368747,+,pspA,669,pspABCDE,Transcription,"regulatory protein for the phage shock operon, protects membrane integrity",,,,"crp,ihf,pspF,rpoN"
b1305,1368800,1369025,+,pspB,225,pspABCDE,Function unknown,stimulates PspC-mediated transcriptional activation of the psp operon, antitoxin of a PspC-PspB toxin-antitoxin pair,,,"crp,ihf,pspF,rpoN"
b1306,1369024,1369384,+,pspC,360,pspABCDE,Function unknown,PspC transcriptional regulator, toxin of a PspC-PspB toxin-antitoxin pair,,,"crp,ihf,pspF,rpoN"
b1308,1369688,1370003,+,pspE,315,pspABCDE,Inorganic ion transport and metabolism,thiosulfate sulfurtransferase,,,,"crp,ihf,pspF,rpoN"
b1309,1370215,1371895,+,ycjM,1680,ycjMNOPQRSTUV-ymjB,Carbohydrate transport and metabolism,predicted glucosyltransferase,,,,crp
b1310,1371908,1373201,+,ycjN,1293,ycjMNOPQRSTUV-ymjB,Carbohydrate transport and metabolism,"putative transport protein, ABC superfamily - periplasmic binding component",,,,crp
b1313,1374962,1376015,+,ycjQ,1053,ycjMNOPQRSTUV-ymjB,Amino acid transport and metabolism,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",,,,crp
b1315,1376831,1377887,+,ycjS,1056,ycjMNOPQRSTUV-ymjB,Function unknown,"predicted oxidoreductase, NADH-binding",,,,crp
b1316,1377883,1380151,+,ycjT,2268,ycjMNOPQRSTUV-ymjB,Carbohydrate transport and metabolism,predicted hydrolase,,,,crp
b1319,1381946,1382852,+,ompG,906,ompG,Cell wall/membrane/envelope biogenesis,outer membrane porin G,,,,crp
b1320,1382962,1383961,-,ycjW,999,ycjW,Transcription,"predicted DNA-binding transcriptional regulator, LacI type",,,,
b1321,1384116,1385514,+,ycjX,1398,ycjXF-tyrR,Function unknown,conserved protein,,,,"pgrR,rpoH,ybiH"
b1322,1385510,1386572,+,ycjF,1062,ycjXF-tyrR,Function unknown,conserved inner membrane protein,,,,"pgrR,rpoH"
b1323,1386719,1388261,+,tyrR,1542,ycjXF-tyrR,Transcription,TyrR DNA-binding transcriptional dual regulator,,,,"lrp,pgrR,rpoD,rpoH,tyrR"
b1324,1388304,1388811,-,tpx,507,tpx,"Posttranslational modification, protein turnover, chaperones",lipid hydroperoxide peroxidase,,,,"arcA,fnr,rpoD"
b1325,1388929,1389895,+,ycjG,966,ycjG,Cell wall/membrane/envelope biogenesis,L-Ala-D/L-Glu epimerase,,,,"arcA,pgrR"
b1326,1389869,1390598,-,mpaA,729,ycjY-ymjDC-mpaA,Amino acid transport and metabolism,murein tripeptide amidase A,,,,"pgrR,rpoH"
b1327,1390932,1391853,-,ycjY,921,ycjY-ymjDC-mpaA,Function unknown,predicted hydrolase,,,,"pgrR,rpoH"
b1328,1391990,1392890,+,pgrR,900,pgrR,Transcription,PgrR DNA-binding transcriptional repressor,,,,
b1329,1393226,1394840,+,mppA,1614,mppA,Amino acid transport and metabolism,murein tripeptide ABC transporter OppBCDFMppA - periplasmic binding protein,,,,
b1330,1394890,1395922,-,ynaI,1032,ynaI,Cell wall/membrane/envelope biogenesis,mechanosensitive channel YnaI,,,,
b1332,1397364,1397622,+,ynaJ,258,ynaJ,Function unknown,predicted inner membrane protein,,,,arcA
b1333,1397671,1398622,-,uspE,951,uspE,Signal transduction mechanisms,universal stress protein with a role cellular motility,,,,"gadX,lrp"
b1334,1398773,1399526,-,fnr,753,fnr,Signal transduction mechanisms,FNR DNA-binding transcriptional dual regulator,,,,"arcA,fnr,fur,ihf,rpoD"
b1335,1399720,1400236,-,ogt,516,abgABT-ogt,"Replication, recombination and repair",O6-alkylguanine-DNA-alkyltransferase,,,,"fis,nac,narL"
b1336,1400246,1401773,-,abgT,1527,abgABT-ogt,Coenzyme transport and metabolism,p-aminobenzoyl glutamate:H<sup>+</sup> symporter,,,,nac
b1337,1401809,1403255,-,abgB,1446,abgABT-ogt,Amino acid transport and metabolism,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,,,,nac
b1338,1403254,1404565,-,abgA,1311,abgABT-ogt,Amino acid transport and metabolism,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,,,,nac
b1339,1404740,1405649,+,abgR,909,abgR,Transcription,"predicted DNA-binding transcriptional regulator, LYSR-type",,,,nac
b1340,1405978,1406542,+,smrA,564,smrA,Function unknown,conserved protein with endonuclease activity,,,,nac
b1341,1406562,1407795,-,ydaM,1233,dgcM,Signal transduction mechanisms,diguanylate cyclase,,,,
b1342,1408049,1409033,+,ydaN,984,zntB,Inorganic ion transport and metabolism,predicted Zn(II) exporter,,,,
b1343,1409510,1410884,+,dbpA,1374,dbpA,"Replication, recombination and repair","ATP-dependent RNA helicase, specific for 23S rRNA",,,,fnr
b1344,1411012,1411948,-,ttcA,936,ttcA,"Cell cycle control, cell division, chromosome partitioning",tRNA C32 thiolase,,,,
b1345,1411999,1413235,-,intR,1236,recET-ralR-ydaC-xisR-intR,"Replication, recombination and repair",Rac prophage, predicted integrase,,,
b1349,1413983,1414793,-,recT,810,recET-ralR-ydaC-xisR-intR,"Replication, recombination and repair","recombinase, DNA renaturation",,,,
b1350,1414785,1417386,-,recE,2601,recET-ralR-ydaC-xisR-intR,"Replication, recombination and repair","exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific",,,,
b1353,1418670,1419159,+,sieB,489,sieB,No COG Annotation,Rac prophage, phage superinfection exclusion protein,,,
b1356,1419764,1420241,-,racR,477,racR,Transcription,Rac prophage, predicted DNA-binding transcriptional regulator,,,
b1357,1420364,1420661,+,ydaS,297,ydaSTUVW-rzpR,No COG Annotation,Rac prophage, predicted DNA-binding transcriptional regulator,,,
b1359,1421118,1421976,+,ydaU,858,ydaSTUVW-rzpR,Function unknown,Rac prophage, conserved protein,,,
b1360,1421982,1422729,+,ydaV,747,ydaSTUVW-rzpR,"Replication, recombination and repair",Rac prophage, predicted DNA replication protein,,,
b1361,1422700,1423200,+,ydaW,500,ydaSTUVW-rzpR,No COG Annotation,Rac prophage, predicted DNA-binding protein,,,
b1362,1423200,1423644,+,rzpR,444,ydaSTUVW-rzpR,No COG Annotation,Rac prophage, predicted defective peptidase,,,
b1363,1423781,1425239,+,trkG,1458,trkG,Inorganic ion transport and metabolism,K<sup>+</sup> transporter TrkG,,,,ydcI
b1368,1426453,1427386,+,tmpR,933,ynaA-lomR_1,No COG Annotation,Rac prophage, predicted tail protein,,,
b1370,1427745,1428726,-,insH1,981,insH-5,"Replication, recombination and repair",Rac prophage, IS5 transposase and trans-activator,,,
b1372,1429048,1432411,+,stfR,3363,lomR_2-stfR-tfaR,Function unknown,putative membrane protein,,,,nac
b1374,1433083,1433674,-,pinR,591,pinR,"Replication, recombination and repair",Rac prophage, predicted site-specific recombinase,,,
b1375,1433990,1434224,-,ynaE,234,ynaE,Transcription,"Rac prophage; cold shock protein, function unknown",,,,
b1376,1435184,1435619,-,uspF,435,uspF,Signal transduction mechanisms,nucleotide binding filament protein,,,,"fnr,yeiE"
b1377,1435759,1436893,-,ompN,1134,ydbK-ompN,Cell wall/membrane/envelope biogenesis,"outer membrane pore protein N, non-specific",,,,"rpoD,rpoS,soxS"
b1378,1437259,1440784,-,pfo,3525,ydbK-ompN,Energy production and conversion,pyruvate:flavodoxin oxidoreductase,,,,"rpoS,soxS"
b1379,1441320,1441743,-,hslJ,423,hslJ,"Posttranslational modification, protein turnover, chaperones",lipoprotein implicated in Novobiocin resistance,,,,"cysB,rpoD"
b1380,1441853,1442843,-,ldhA,990,ldhA,Energy production and conversion,D-lactate dehydrogenase - fermentative,,,,"rpoH,yheO"
b1381,1443050,1445690,+,ydbH,2640,ydbH-ynbE-ydbL,Function unknown,putative protein,,,,yheO
b1383,1445879,1446206,+,ydbL,327,ydbH-ynbE-ydbL,Function unknown,conserved protein,,,,
b1384,1446377,1447283,-,feaR,906,feaR,Transcription,FeaR DNA-binding transcriptional activator,,,,"arcA,crp,nac,nsrR,phoB,qseB,rpoD"
b1385,1447518,1449018,+,feaB,1500,feaB,Energy production and conversion,phenylacetaldehyde dehydrogenase,,,,"arcA,crp,feaR,nsrR,rpoD,yddM"
b1386,1449075,1451349,-,tynA,2274,tynA,"Secondary metabolites biosynthesis, transport and catabolism",copper-containing amine oxidase,,,,"feaR,rpoD"
b1387,1451596,1453642,-,paaZ,2046,paaZ,Lipid transport and metabolism,"oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase",,,,"crp,ihf,paaX"
b1388,1453926,1454856,+,paaA,930,paaABCDEFGHIJK,"Secondary metabolites biosynthesis, transport and catabolism","ring 1,2-phenylacetyl-CoA epoxidase, monooxygenase subunit",,,,"arcA,crp,ihf,paaX,rpoD,slyA"
b1389,1454867,1455155,+,paaB,288,paaABCDEFGHIJK,"Secondary metabolites biosynthesis, transport and catabolism","ring 1,2-phenylacetyl-CoA epoxidase subunit",,,,"arcA,crp,ihf,paaX,rpoD,slyA"
b1390,1455163,1455910,+,paaC,747,paaABCDEFGHIJK,"Secondary metabolites biosynthesis, transport and catabolism","ring 1,2-phenylacetyl-CoA epoxidase, structural subunit",,,,"arcA,crp,ihf,paaX,rpoD,slyA"
b1391,1455924,1456422,+,paaD,498,paaABCDEFGHIJK,Function unknown,phenylacetate degradation protein,,,,"arcA,crp,ihf,paaX,rpoD,slyA"
b1392,1456429,1457500,+,paaE,1071,paaABCDEFGHIJK,Energy production and conversion,"ring 1,2-phenylacetyl-CoA epoxidase, reductase subunit",,,,"arcA,crp,ihf,paaX,rpoD,slyA"
b1393,1457496,1458264,+,paaF,768,paaABCDEFGHIJK,Lipid transport and metabolism,"predicted 2,3-dehydroadipyl-CoA hydratase",,,,"arcA,crp,ihf,paaX,rpoD,slyA"
b1394,1458263,1459052,+,paaG,789,paaABCDEFGHIJK,Lipid transport and metabolism,"predicted ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",,,,"arcA,crp,ihf,paaX,rpoD,slyA"
b1395,1459053,1460481,+,paaH,1428,paaABCDEFGHIJK,Lipid transport and metabolism,3-hydroxyadipyl-CoA dehydrogenase (NAD<sup>+</sup>),,,,"arcA,crp,ihf,paaX,rpoD,slyA"
b1397,1460892,1462098,+,paaJ,1206,paaABCDEFGHIJK,Lipid transport and metabolism,&beta,-ketoadipyl-CoA thiolase,,,"arcA,crp,ihf,paaX,rpoD,slyA"
b1398,1462124,1463438,+,paaK,1314,paaABCDEFGHIJK,"Secondary metabolites biosynthesis, transport and catabolism",phenylacetate-CoA ligase,,,,"arcA,crp,ihf,paaX,rpoD,slyA"
b1399,1463538,1464489,+,paaX,951,paaXY,Transcription,PaaX DNA-binding transcriptional repressor,,,,"paaX,rpoD"
b1400,1464470,1465061,+,paaY,591,paaXY,Function unknown,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",,,,"paaX,rpoD"
b1402,1467920,1468826,-,insD1,906,insCD-2C-2D-2,"Replication, recombination and repair",,,,,
b1403,1468783,1469149,-,insC1,366,insCD-2C-2D-2,"Replication, recombination and repair",IS2 insertion element repressor InsA,,,,
b1406,1474220,1475081,+,ydbC,861,pdxI,Energy production and conversion,"predicted oxidoreductase, NAD(P)-binding",,,,
b1407,1475143,1477450,+,ydbD,2307,ydbD,No COG Annotation,protein involved in detoxification of methylglyoxal,,,,"nsrR,rpoS"
b1410,1479137,1480895,+,ynbC,1758,ynbABCD,Lipid transport and metabolism,predicted hydrolase,,,,
b1411,1480908,1482201,+,ynbD,1293,ynbABCD,Lipid transport and metabolism,"predicted phosphatase, inner membrane protein",,,,
b1412,1482254,1482860,-,azoR,606,azoR,Lipid transport and metabolism,"NADH:quinone oxidoreductase, FMN-dependent",,,,rpoD
b1413,1483060,1486963,+,hrpA,3903,hrpA,"Replication, recombination and repair",ATP-dependent helicase,,,,
b1414,1487234,1488035,+,ydcF,801,ydcF,Function unknown,conserved protein,,,,
b1415,1488231,1489671,+,aldA,1440,aldA,Energy production and conversion,aldehyde dehydrogenase A,,,,"arcA,crp,dnaA,fnr,marA,rob,rpoD,soxS"
b1418,1490901,1491432,+,cybB,531,cybB,Energy production and conversion,cytochrome b561,,,,
b1419,1491676,1491850,+,ydcA,174,ydcA,No COG Annotation,putative protein,,,,
b1420,1491961,1492129,-,mokB,168,mokB,No COG Annotation,regulatory peptide whose translation enables hokB expression,,,,crp
b1421,1492469,1494110,+,trg,1641,trg,Function unknown,,,,,"crp,fis,fliA"
b1422,1494147,1495071,-,ydcI,924,ydcI,Transcription,YdcI DNA-binding transcriptional repressor,,,,
b1423,1495287,1496631,+,ydcJ,1344,ydcJ,Function unknown,conserved protein,,,,nac
b1424,1496855,1498511,+,opgD,1656,opgD,Inorganic ion transport and metabolism,glucan biosynthesis protein D,,,,
b1426,1498650,1498875,+,ydcH,225,ydcH,Function unknown,putative protein,,,,
b1427,1498937,1499477,+,rimL,540,rimL,"Translation, ribosomal structure and biogenesis",ribosomal-protein-L12-serine acetyltransferase,,,,
b1428,1499468,1500449,-,ydcK,981,ydcK,Function unknown,predicted enzyme,,,,yheO
b1429,1500572,1501565,+,tehA,993,tehAB,Inorganic ion transport and metabolism,tellurite resistance protein / ethidium exporter,,,,"nsrR,yheO"
b1430,1501561,1502155,+,tehB,594,tehAB,"Secondary metabolites biosynthesis, transport and catabolism",tellurite methyltransferase,,,,nsrR
b1431,1502456,1503125,+,ydcL,669,ydcL,Function unknown,predicted lipoprotein,,,,
b1432,1503716,1504865,+,insQ,1149,insQ,"Replication, recombination and repair",predicted transposase,,,,
b1433,1504904,1506080,-,ydcO,1176,ydcO,"Secondary metabolites biosynthesis, transport and catabolism","putative transport protein, major facilitator superfamily (MFS)",,,,
b1434,1506171,1506708,+,ydcN,537,sutR,Transcription,SutR DNA-binding transcriptional dual regulator,,,,"rpoD,sutR"
b1435,1506780,1508742,+,ydcP,1962,rlhA,"Posttranslational modification, protein turnover, chaperones",predicted peptidase,,,,
b1438,1509507,1509924,+,hicB,417,hicAB,Function unknown,antitoxin of the HicA-HicB toxin-antitoxin system,,,,rpoD
b1439,1510002,1511409,+,ydcR,1407,ydcR,Transcription,fused predicted DNA-binding transcriptional regulator and predicted amino transferase,,,,
b1440,1511653,1512799,+,ydcS,1146,ydcSTUV-patD,Carbohydrate transport and metabolism,"putative transport protein, ABC superfamily - periplasmic binding protein / polyhydroxybutyrate synthase",,,,"nac,rpoS"
b1441,1512816,1513830,+,ydcT,1014,ydcSTUV-patD,Amino acid transport and metabolism,"putative transport protein, ABC superfamily - ATP binding component",,,,"nac,rpoS,yeiE"
b1442,1513830,1514772,+,ydcU,942,ydcSTUV-patD,Inorganic ion transport and metabolism,"putative transport protein, ABC superfamily - membrane component",,,,"nac,rpoS"
b1443,1514761,1515556,+,ydcV,795,ydcSTUV-patD,Inorganic ion transport and metabolism,"putative transport protein, ABC family - membrane component",,,,"nac,rpoS"
b1444,1515577,1517002,+,patD,1425,ydcSTUV-patD,Energy production and conversion,&gamma,-aminobutyraldehyde dehydrogenase,,,"nac,rpoS"
b1446,1517647,1517881,+,ydcY,234,ydcY,Function unknown,putative protein,,,,fnr
b1447,1517881,1518331,-,ydcZ,450,mnaT-ydcZ,Function unknown,predicted inner membrane protein,,,,
b1448,1518327,1518846,-,mnaT,519,mnaT-ydcZ,Cell wall/membrane/envelope biogenesis,L-amino acid N-acyltransferase,,,,
b1449,1519026,1520064,+,curA,1038,curA,Function unknown,NADPH-dependent curcumin/dihydrocurcumin reductase subunit,,,,nac
b1450,1520261,1520927,+,mcbR,666,mcbR,Transcription,McbR DNA-binding transcriptional dual regulator,,,,
b1451,1520962,1523065,-,yncD,2103,yncD,Inorganic ion transport and metabolism,putative TonB-dependent outer membrane receptor,,,,arcA
b1452,1523306,1524368,+,yncE,1062,yncE,Function unknown,conserved protein,,,,"arcA,fur,marA"
b1453,1524480,1525980,-,ansP,1500,ansP,Amino acid transport and metabolism,L-asparagine transporter,,,,rpoS
b1454,1526246,1526864,+,yncG,618,yncG,"Posttranslational modification, protein turnover, chaperones",predicted enzyme,,,,nac
b1456,1527901,1529938,+,rhsE,2037,rhsE-ydcD,No COG Annotation,RhsE protein in rhs element,,,,ybaQ
b1457,1529921,1530404,+,ydcD,483,rhsE-ydcD,No COG Annotation,hypothetical protein,,,,
b1459_1,1530585,1531323,+,yncI_1,738,yncM,No COG Annotation,,,,,
b1460,1531815,1532952,+,ydcC,1137,ydcC,"Replication, recombination and repair",conserved protein,,,,
b1461,1533051,1533285,+,pptA,234,pptA,Function unknown,probable 4-oxalocrotonate tautomerase (4-OT),,,,
b1462,1533281,1533851,-,yddH,570,yddH,Function unknown,conserved protein,,,,
b1463,1534023,1534869,+,nhoA,846,nhoA,"Secondary metabolites biosynthesis, transport and catabolism",arylamine <i>N</i>-acetyltransferase,,,,soxS
b1464,1534964,1535858,-,yddE,894,yddE,Function unknown,conserved protein,,,,
b1465,1535936,1536617,-,narV,681,narZYWV,Energy production and conversion,"nitrate reductase Z, &gamma; subunit",,,,rpoE
b1466,1536613,1537309,-,narW,696,narZYWV,Energy production and conversion,"NarW, probable private chaperone for NarZ nitrate reductase subunit",,,,rpoE
b1467,1537308,1538853,-,narY,1545,narZYWV,Energy production and conversion,"nitrate reductase Z, &beta; subunit",,,,
b1468,1538849,1542590,-,narZ,3741,narZYWV,Energy production and conversion,"nitrate reductase Z, &alpha; subunit",,,,
b1469,1542671,1544060,-,narU,1389,narU,Inorganic ion transport and metabolism,nitrate / nitrite transporter NarU,,,,"rpoD,rpoS"
b1473,1546287,1547169,-,yddG,882,yddG,Amino acid transport and metabolism,aromatic amino acid exporter,,,,"fnr,rpoS"
b1474,1547400,1550448,+,fdnG,3048,fdnGHI,Energy production and conversion,"formate dehydrogenase N, &alpha; subunit",,,,"fnr,narL,narP,rpoD"
