,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator,operon,length
b0660,ybeZ,,692338,693378,-,PhoH-like protein,Signal transduction mechanisms,P0A9K3,RpoH,ybeZYX-lnt,1041.0
b0661,miaB,,693531,694955,-,isopentenyl-adenosine A37 tRNA methylthiolase,"Translation, ribosomal structure and biogenesis",P0AEI1,ppGpp,miaB,1425.0
b0662,ubiF,,695101,696276,+,2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol hydroxylase,Energy production and conversion,P75728,,ubiF,1176.0
b0674,asnB,,697513,699177,-,asparagine synthetase B,Amino acid transport and metabolism,P22106,"GadX,ppGpp,Lrp,gcvB",asnB,1665.0
b0675,umpH,,699574,700326,-,UMP phosphatase,Carbohydrate transport and metabolism,P0AF24,"RpoD,Crp,NagC",nagBAC-umpH,753.0
b0676,nagC,,700374,701594,-,DNA-binding transcriptional dual regulator NagC,Transcription,P0AF20,"RpoD,Crp,NagC",nagBAC-umpH,1221.0
b0677,nagA,,701603,702751,-,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,P0AF18,"RpoD,Crp,PhoP,NagC",nagBAC-umpH,1149.0
b0678,nagB,,702811,703611,-,glucosamine-6-phosphate deaminase,Nucleotide transport and metabolism,P0A759,"RpoD,Crp,NagC",nagBAC-umpH,801.0
b0679,nagE,,703944,705890,+,N-acetylglucosamine specific PTS enzyme IIABC component,Carbohydrate transport and metabolism,P09323,"RpoD,Crp,NagC",nagE,1947.0
b0680,glnS,,706093,707757,+,glutamine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P00962,"RpoD,RpoH",glnS,1665.0
b0681,chiP,,708334,709740,+,chitobiose outer membrane channel,Cell wall/membrane/envelope biogenesis,P75733,"Crp,NagC,ChiX",chiPQ,1407.0
b0682,chiQ,,709790,710116,+,lipoprotein ChiQ,Cell wall/membrane/envelope biogenesis,P75734,"Crp,ppGpp,NagC,ChiX",chiPQ,327.0
b0683,fur,,710200,710646,-,DNA-binding transcriptional dual regulator Fur,Transcription,P0A9A9,"RpoD,Crp,OxyR,SoxS,Fur,ryhB",fldA-uof-fur,447.0
b0684,fldA,,710935,711465,-,flavodoxin 1,Energy production and conversion,P61949,SoxS,fldA-uof-fur,531.0
b0685,ybfE,,711605,711898,-,LexA-regulated protein,Function unknown,P0AAU7,"RpoH,LexA,ppGpp",ybfE,294.0
b0686,ybfF,,712038,712802,-,esterase,Function unknown,P75736,,ybfF,765.0
b0687,seqA,,712987,713532,+,SeqA%2C negative modulator of initiation of replication,"Replication, recombination and repair",P0AFY8,HU,seqA-pgm,546.0
b0688,pgm,,713558,715198,+,phosphoglucomutase,Carbohydrate transport and metabolism,P36938,HU,seqA-pgm,1641.0
b0689,ybfP,,715412,715906,+,lipoprotein YbfP,No COG annotation,P75737,,ybfP,495.0
b0691,ybfG,,715947,716597,-,PF10964 domain-containing protein YbfG,Function unknown,,RpoE,,
b0692,potE,,716946,718265,-,putrescine:H(+) symporter/putrescine:ornithine antiporter PotE,Amino acid transport and metabolism,P0AAF1,"YbaQ,OmpR",speF-potE,1320.0
b0693,speF,,718262,720460,-,ornithine decarboxylase%2C degradative,Amino acid transport and metabolism,P24169,"YeiE,OmpR",speF-potE,2199.0
b4590,ybfK,,720583,720840,+,uncharacterized protein YbfK,No COG annotation,UPI000013A321,,,
b0694,kdpE,,721056,721733,-,DNA-binding transcriptional activator KdpE,Transcription,P21866,,kdpDE,678.0
b0695,kdpD,,721730,724414,-,sensory histidine kinase KdpD,Signal transduction mechanisms,P21865,,kdpDE,2685.0
b0696,kdpC,,724407,724979,-,K(+) transporting P-type ATPase subunit KdpC,Inorganic ion transport and metabolism,P03961,"RpoD,ppGpp,KdpE",kdpFABC,573.0
b0697,kdpB,,724988,727036,-,K(+) transporting P-type ATPase subunit KdpB,Inorganic ion transport and metabolism,P03960,"RpoD,YdcN,ppGpp,KdpE",kdpFABC,2049.0
b0698,kdpA,,727059,728732,-,K(+) transporting P-type ATPase subunit KdpA,Inorganic ion transport and metabolism,P03959,"RpoD,KdpE,ArcA",kdpFABC,1674.0
b0699,ybfA,,729134,729340,+,DUF2517 domain-containing protein YbfA,Function unknown,P0AAU2,"ppGpp,ArcA",ybfA,207.0
b0700,rhsC,,729583,733776,+,rhs element protein RhsC,Cell wall/membrane/envelope biogenesis,P16918,,rhsC-ybfB,4194.0
b0702,ybfB,,733776,734102,+,uncharacterized protein YbfB,No COG annotation,P0AAU5,gcvB,,
b0703,ybfO,,734220,735653,+,conserved protein%2C rhs-like YbfO,Cell wall/membrane/envelope biogenesis,,,ybfOC,1521.0
b0704,ybfC,,735650,736219,+,uncharacterized protein YbfC,No COG annotation,P28915,Nac,ybfOC,570.0
b4514,ybfQ,,736445,736699,+,inactive transposase YbfQ,"Replication, recombination and repair",UPI00000B1283,,,
b0705,ybfL,,736900,737961,+,putative transposase YbfL,"Replication, recombination and repair",,,ybfL,1137.0
b0706,ybfD,,738092,738853,+,H repeat-associated putative transposase YbfD,"Replication, recombination and repair",P28916,,,
b0707,ybgA,,739001,739510,+,DUF1722 domain-containing protein YbgA,Function unknown,P24252,"RpoS,ppGpp,Lrp",ybgA-phr,510.0
b0708,phr,,739507,740925,+,deoxyribodipyrimidine photolyase (photoreactivation),"Replication, recombination and repair",P00914,"RpoS,LexA,ppGpp",ybgA-phr,1419.0
b0709,dtpD,,741075,742556,-,dipeptide:H(+) symporter DtpD,"Intracellular trafficking, secretion, and vesicular transport",P75742,ppGpp,dtpD,1482.0
b0710,ybgI,,742827,743570,+,radiation resistance protein YbgI,Function unknown,P0AFP6,ppGpp,ybgI-pxpBCA-nei,744.0
b0711,pxpB,,743593,744249,+,5-oxoprolinase component B,Amino acid transport and metabolism,P0AAV4,ppGpp,ybgI-pxpBCA-nei,657.0
b0712,pxpC,,744243,745175,+,5-oxoprolinase component C,Amino acid transport and metabolism,P75745,ppGpp,ybgI-pxpBCA-nei,933.0
b0713,pxpA,,745165,745899,+,5-oxoprolinase component A,Function unknown,P75746,ppGpp,ybgI-pxpBCA-nei,735.0
b0714,nei,,745935,746726,+,endonuclease VIII,"Replication, recombination and repair",P50465,RpoD,ybgI-pxpBCA-nei,792.0
b0715,abrB,,746723,747769,-,putative regulator,Function unknown,P75747,,abrB,1047.0
b0716,ybgO,,747921,748982,-,putative fimbrial protein YbgO,Cell motility,P75748,,ybgQPO,1062.0
b0717,ybgP,,748979,749707,-,putative fimbrial chaperone YbgP,Cell wall/membrane/envelope biogenesis,P75749,,,
b0718,ybgQ,,749722,752169,-,putative fimbrial usher protein YbgQ,Cell motility,P75750,,ybgQPO,2448.0
b0719,ybgD,,752229,752795,-,putative fimbrial protein YbgD,Cell motility,P37909,YbdO,,
b0720,gltA,,753185,754468,-,citrate synthase,Energy production and conversion,P0ABH7,"RpoD,YdcI,Crp,IHF,ArcA,ppGpp,Nac,spf",gltA,1284.0
b4735,ybgU,,754674,754781,-,protein YbgU,No COG annotation,UPI0001A5C00D,,,
b0721,sdhC,,755177,755566,+,succinate:quinone oxidoreductase%2C membrane protein SdhC,Energy production and conversion,P69054,"RpoD,YdcI,YdiP,Fur,Crp,Fnr,ArcA,Nac,rybB,ryhB,spf",sdhCDAB-sucABCD,390.0
b0722,sdhD,,755560,755907,+,succinate:quinone oxidoreductase%2C membrane protein SdhD,Energy production and conversion,P0AC44,"RpoD,ryhB,Fur,Crp,Fnr,ArcA",sdhCDAB-sucABCD,348.0
b0723,sdhA,,755907,757673,+,succinate:quinone oxidoreductase%2C FAD binding protein,Energy production and conversion,P0AC41,"RpoD,Fur,Crp,Fnr,ArcA,ryhB",sdhCDAB-sucABCD,1767.0
b0724,sdhB,,757689,758405,+,succinate:quinone oxidoreductase%2C iron-sulfur cluster binding protein,Energy production and conversion,P07014,"RpoD,Fur,Crp,Fnr,ArcA,ryhB",sdhCDAB-sucABCD,717.0
b0726,sucA,,758706,761507,+,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,Nucleotide transport and metabolism,P0AFG3,"RpoD,RpoS,Fur,IHF,Fnr,Crp,ArcA,Nac,ryhB",sdhCDAB-sucABCD,2802.0
b0727,sucB,,761522,762739,+,dihydrolipoyltranssuccinylase,Energy production and conversion,P0AFG6,"RpoD,RpoS,Fur,IHF,Fnr,Crp,ArcA,ryhB",sdhCDAB-sucABCD,1218.0
b0728,sucC,,763014,764180,+,succinyl-CoA synthetase subunit beta,Nucleotide transport and metabolism,P0A836,"RpoD,YfeD,RpoS,Fur,IHF,Fnr,Crp,ArcA,ryhB,spf",sdhCDAB-sucABCD,1167.0
b0729,sucD,,764180,765049,+,succinyl-CoA synthetase subunit alpha,Energy production and conversion,P0AGE9,"RpoD,RpoS,Fur,IHF,Fnr,Crp,ArcA,ryhB",sdhCDAB-sucABCD,870.0
b0730,mngR,,765153,765875,-,DNA-binding transcriptional repressor MngR,Transcription,P13669,"RpoD,MngR",mngR,723.0
b0731,mngA,,765984,767960,+,2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II,Carbohydrate transport and metabolism,P54745,"YcjW,RpoH,MngR",mngAB,1977.0
b0732,mngB,,767978,770611,+,alpha-mannosidase,Carbohydrate transport and metabolism,P54746,"RpoD,YidZ,RpoH,MngR",mngAB,2634.0
b0733,cydA,,771458,773026,+,cytochrome bd-I ubiquinol oxidase subunit I,Energy production and conversion,P0ABJ9,"RpoD,ryhB,YidZ,Cra,ArcA,H-NS,HypT,Fnr,Nac",cydAB,1569.0
b0734,cydB,,773042,774181,+,cytochrome bd-I ubiquinol oxidase subunit II,Energy production and conversion,P0ABK2,"RpoD,Cra,ArcA,H-NS,HypT,Fnr",cydAB,1140.0
b4515,cydX,,774196,774309,+,cytochrome bd-I ubiquinol oxidase subunit CydX,Function unknown,P56100,,cydX-ybgE,114.0
b0735,ybgE,,774309,774602,+,cyd operon protein YbgE,Function unknown,P0AAV0,Nac,cydX-ybgE,294.0
b0736,ybgC,,774752,775156,+,esterase/thioesterase,Function unknown,P0A8Z3,Nac,ybgC-tolQRA,405.0
b0737,tolQ,,775153,775845,+,Tol-Pal system protein TolQ,"Intracellular trafficking, secretion, and vesicular transport",P0ABU9,ppGpp,ybgC-tolQRA,693.0
b0738,tolR,,775849,776277,+,Tol-Pal system protein TolR,"Intracellular trafficking, secretion, and vesicular transport",P0ABV6,,ybgC-tolQRA,429.0
b0739,tolA,,776342,777607,+,Tol-Pal system protein TolA,"Intracellular trafficking, secretion, and vesicular transport",P19934,,ybgC-tolQRA,1266.0
b0740,tolB,,777740,779032,+,Tol-Pal system periplasmic protein TolB,"Intracellular trafficking, secretion, and vesicular transport",P0A855,Nac,tolB-pal-cpoB,1293.0
b0741,pal,,779067,779588,+,peptidoglycan-associated outer membrane lipoprotein Pal,Cell wall/membrane/envelope biogenesis,P0A912,"Lrp,micA",tolB-pal-cpoB,522.0
b0742,cpoB,,779598,780389,+,cell division coordinator CpoB,"Cell cycle control, cell division, chromosome partitioning",P45955,"Lrp,micA",tolB-pal-cpoB,792.0
b0750,nadA,,782085,783128,+,quinolinate synthase,Nucleotide transport and metabolism,P11458,NadR,nadA-pnuC,1044.0
b0751,pnuC,,783166,783885,+,nicotinamide riboside transporter,Coenzyme transport and metabolism,P0AFK2,NadR,nadA-pnuC,720.0
b0752,zitB,,783882,784823,-,Zn(2(+))/Cd(2(+))/Ni(2(+))/Cu(2(+)) exporter,Inorganic ion transport and metabolism,P75757,Lrp,zitB,942.0
b0753,ybgS,,784937,785317,-,PF13985 family protein YbgS,Function unknown,P0AAV6,"ppGpp,Lrp",ybgS,381.0
b0754,aroG,,785633,786685,+,3-deoxy-7-phosphoheptulonate synthase%2C Phe-sensitive,Amino acid transport and metabolism,P0AB91,"RpoD,TyrR,CpxR,ppGpp,Lrp",aroG,1053.0
b0755,gpmA,,786843,787595,-,2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase,Nucleotide transport and metabolism,P62707,"RpoD,RpoS,Fur,fnrS",gpmA,753.0
b0756,galM,,787797,788837,-,galactose-1-epimerase,Carbohydrate transport and metabolism,P0A9C3,"RpoD,RpoS,Crp,GalR,GalS,H-NS,HU",galETKM,1041.0
b0757,galK,,788831,789979,-,galactokinase,Nucleotide transport and metabolism,P0A6T3,"RpoD,spf,RpoS,Crp,GalR,GalS,H-NS,HU",galETKM,1149.0
b0758,galT,,789983,791029,-,galactose-1-phosphate uridylyltransferase,Energy production and conversion,P09148,"RpoD,RpoS,Crp,GalR,GalS,H-NS,HU",galETKM,1047.0
b0759,galE,,791039,792055,-,UDP-glucose 4-epimerase,Cell wall/membrane/envelope biogenesis,P09147,"RpoD,YidZ,RpoS,Crp,H-NS,GalS,GalR,HU",galETKM,1017.0
b0760,modF,,792316,793788,-,ABC family protein ModF,Inorganic ion transport and metabolism,P31060,ppGpp,modEF,1473.0
b0761,modE,,793856,794644,-,DNA-binding transcriptional dual regulator ModE,Transcription,P0A9G8,,modEF,789.0
b0762,acrZ,,794773,794922,+,multidrug efflux pump accessory protein AcrZ,"Intracellular trafficking, secretion, and vesicular transport",P0AAW9,"RpoD,Rob,SoxS,MarA,Lrp",acrZ,150.0
b0763,modA,,795089,795862,+,molybdate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P37329,"RpoD,FliA,Crp,ModE,Lrp",modABC,774.0
b0764,modB,,795862,796551,+,molybdate ABC transporter membrane subunit,Inorganic ion transport and metabolism,P0AF01,"RpoD,FliA,Crp,ModE",modABC,690.0
b0765,modC,,796554,797612,+,molybdate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P09833,"RpoD,FliA,Crp,ModE",modABC,1059.0
b0766,ybhA,,797613,798431,-,pyridoxal phosphate/fructose-1%2C6-bisphosphate phosphatase,Function unknown,P21829,YcjW,ybhA,819.0
b0767,pgl,,798586,799581,+,6-phosphogluconolactonase,Nucleotide transport and metabolism,P52697,"ppGpp,Lrp",pgl,996.0
b0768,ybhD,,799622,800575,-,putative DNA-binding transcriptional regulator YbhD,Transcription,P52696,"YddM,Nac",ybhD,954.0
b0770,ybhI,,801887,803320,+,putative tricarboxylate transporter,Inorganic ion transport and metabolism,P75763,"YeiE,YdcI,Nac",ybhI,1434.0
b0771,ybhJ,,803503,805764,+,putative hydratase YbhJ,Energy production and conversion,P75764,YdcN,ybhJ,2262.0
b0772,ybhC,,805998,807281,-,outer membrane lipoprotein YhbC,Cell wall/membrane/envelope biogenesis,P46130,,ybhC,1284.0
b0773,ybhB,,807433,807909,-,putative kinase inhibitor,Function unknown,P12994,,ybhB,477.0
b0774,bioA,,807968,809257,-,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,Coenzyme transport and metabolism,P12995,"RpoD,ppGpp,BirA",bioA,1290.0
b0775,bioB,,809344,810384,+,biotin synthase,Coenzyme transport and metabolism,P12996,"RpoD,BirA",bioBFCD,1041.0
b0776,bioF,,810381,811535,+,8-amino-7-oxononanoate synthase,Coenzyme transport and metabolism,P12998,"RpoD,BirA",bioBFCD,1155.0
b0777,bioC,,811522,812277,+,malonyl-acyl carrier protein methyltransferase,Coenzyme transport and metabolism,P12999,"RpoD,BirA",bioBFCD,756.0
b0778,bioD,,812270,812947,+,dethiobiotin synthetase,Coenzyme transport and metabolism,P13000,"RpoD,BirA",bioBFCD,678.0
b0779,uvrB,,813526,815547,+,excision nuclease subunit B,"Replication, recombination and repair",P0A8F8,"RpoD,LexA,DnaA",uvrB,2022.0
b0780,ybhK,,815739,816647,-,putative transferase YbhK,Function unknown,P75767,,ybhK,909.0
b0781,moaA,,817044,818033,+,GTP 3'%2C8'-cyclase,Coenzyme transport and metabolism,P30745,"Fnr,CueR,ModE,CsrA,Molybdopterin",moaABCDE,990.0
b0782,moaB,,818055,818567,+,MoaB protein,Coenzyme transport and metabolism,P0AEZ9,"Fnr,CueR,ModE,CsrA,Molybdopterin",moaABCDE,513.0
b0783,moaC,,818570,819055,+,cyclic pyranopterin monophosphate synthase,Coenzyme transport and metabolism,P0A738,"Fnr,CueR,ModE,CsrA,Molybdopterin",moaABCDE,486.0
b0784,moaD,,819048,819293,+,molybdopterin synthase sulfur carrier subunit,Coenzyme transport and metabolism,P30748,"Fnr,CueR,ModE,CsrA,Molybdopterin",moaABCDE,246.0
b0785,moaE,,819295,819747,+,molybdopterin synthase catalytic subunit,Coenzyme transport and metabolism,P30749,"Fnr,CueR,ModE,CsrA,Molybdopterin",moaABCDE,453.0
b0786,ybhL,,819884,820588,+,Bax1-I family protein YbhL,Function unknown,P0AAC4,"RpoD,YjjQ",ybhL,705.0
b0787,ybhM,,820793,821506,+,Bax1-I family protein YbhM,Function unknown,P75769,"YfeC,Nac",ybhM,714.0
b0788,ybhN,,821542,822498,-,conserved inner membrane protein YbhN,Function unknown,P75770,ppGpp,ybhP-clsB-ybhN,957.0
b0789,clsB,,822498,823739,-,cardiolipin synthase B,Lipid transport and metabolism,P0AA84,"YidZ,ppGpp",ybhP-clsB-ybhN,1242.0
b0790,ybhP,,823736,824497,-,endonuclease/exonuclease/phosphatase domain-containing protein YbhP,"Replication, recombination and repair",P0AAW1,ppGpp,ybhP-clsB-ybhN,762.0
b0791,ybhQ,,824630,825040,+,putative inner membrane protein,Function unknown,P0AAW5,Lrp,ybhQ,411.0
b0792,ybhR,,825002,826108,-,putative ABC exporter membrane subunit YbhR,Defense mechanisms,P0AFP9,"RpoD,CecR,ppGpp",cecR-ybhGFSR,1107.0
b0793,ybhS,,826119,827252,-,putative ABC exporter membrane subunit YbhS,Defense mechanisms,P0AFQ2,"RpoD,CecR,ppGpp",cecR-ybhGFSR,1134.0
b0794,ybhF,,827245,828981,-,putative ABC exporter ATP binding subunit,Defense mechanisms,P0A9U1,"RpoD,CecR,ppGpp",cecR-ybhGFSR,1737.0
b0795,ybhG,,828974,829972,-,HlyD_D23 family protein YbhG,Cell wall/membrane/envelope biogenesis,P75777,"RpoD,YdcN,CecR,ppGpp",cecR-ybhGFSR,999.0
b0796,cecR,,829972,830643,-,DNA-binding transcriptional dual regulator CecR,Transcription,P0ACU0,"RpoD,YbiH,CecR,ppGpp",cecR-ybhGFSR,672.0
b0797,rhlE,,830872,832236,+,ATP-dependent RNA helicase RhlE,Nucleotide transport and metabolism,P25888,"ppGpp,CecR",rhlE,1365.0
b0798,ybiA,,832468,832950,-,N-glycosidase YbiA,"Post-translational modification, protein turnover,and chaperones",P30176,YidZ,ybiA,483.0
b0799,dinG,,833070,835220,+,ATP-dependent DNA helicase DinG,"Replication, recombination and repair",P27296,"RpoD,YafC,LexA",dinG-ybiB,2151.0
b0800,ybiB,,835248,836210,+,nonspecific DNA-binding protein YbiB,Amino acid transport and metabolism,P30177,"RpoD,YeiE,LexA",dinG-ybiB,963.0
b0801,hcxB,,836351,837436,+,hydroxycarboxylate dehydrogenase B,Energy production and conversion,P30178,,hcxB,1086.0
b0802,ybiJ,,837665,837925,-,DUF1471 domain-containing protein YbiJ,Function unknown,P0AAX3,"YhaJ,Lrp",ybiJ,261.0
b0803,ybiI,,838190,838456,-,zinc finger domain-containing protein YbiI,Signal transduction mechanisms,P41039,"RpoS,Lrp",ybiI,267.0
b0804,ybiX,,838530,839207,-,PKHD-type hydroxylase YbiX,Function unknown,P75779,,ybiX,678.0
b0805,fiu,,839249,841531,-,putative iron siderophore outer membrane transporter,Inorganic ion transport and metabolism,P75780,"RpoD,Crp,Fur,rybB",fiu,2283.0
b0806,mcbA,,841796,842056,-,DUF1471 domain-containing protein McbA,Function unknown,P0AAX6,"RpoD,McbR,Nac",mcbA,261.0
b0807,rlmF,,842332,843258,+,23S rRNA m(6)A1618 methyltransferase,"Translation, ribosomal structure and biogenesis",P75782,"ppGpp,Nac",rlmF,927.0
b0808,ybiO,,843255,845480,-,moderate conductance mechanosensitive channel,Cell wall/membrane/envelope biogenesis,P75783,"YciT,Lrp",ybiO,2226.0
b0809,glnQ,,845741,846463,-,L-glutamine ABC transporter ATP binding subunit,Amino acid transport and metabolism,P10346,"RpoD,RpoN,Fis,IHF,NtrC,Lrp",glnHPQ,723.0
b0810,glnP,,846460,847119,-,L-glutamine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P0AEQ6,"RpoN,ppGpp,IHF,NtrC",glnHPQ,660.0
b0811,glnH,,847258,848004,-,L-glutamine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P0AEQ3,"RpoN,ppGpp,IHF,NtrC,Lrp",glnHPQ,747.0
b0812,dps,,848408,848911,-,stationary phase nucleoid protein that sequesters iron and protects DNA from damage,Inorganic ion transport and metabolism,P0ABT2,"OxyR,RpoD,oxyS,RpoS,IHF,MntR,ppGpp,Fis,H-NS,ArgR",dps,504.0
b0813,rhtA,,849210,850097,-,L-threonine/L-homoserine exporter,Function unknown,P0AA67,"Nac,OmpR",rhtA,888.0
b0814,ompX,,850450,850965,+,outer membrane protein X,Cell wall/membrane/envelope biogenesis,P0A917,"RpoD,YciT,omrA,omrB,micA,cyaR,Fnr,OmpR",ompX,516.0
b0815,opgE,,851014,852597,-,phosphoethanolamine transferase,Function unknown,P75785,ppGpp,opgE,1584.0
b4705,mntS,,852869,852997,-,small protein MntS,No COG annotation,P0DKB3,"RpoD,MntR",rybA-mntS,129.0
b0817,mntR,,853183,853650,+,DNA-binding transcriptional dual regulator MntR,Transcription,P0A9F1,DeaD,mntR-ybiR,468.0
b0818,ybiR,,853647,854765,+,putative transporter YbiR,Inorganic ion transport and metabolism,P75788,YbiH,mntR-ybiR,1119.0
b0819,ldtB,,854824,855744,-,L%2CD-transpeptidase YbiS,Cell wall/membrane/envelope biogenesis,P0AAX8,"Rob,Crp,ppGpp",ldtB,921.0
b0820,ybiT,,855963,857555,+,ABC transporter ATP-binding protein YbiT,Function unknown,P0A9U3,"YidZ,Crp,ppGpp,AscG,Lrp",ybiT,1593.0
b0821,ybiU,,857796,859061,-,DUF1479 domain-containing protein YbiU,Function unknown,P75791,"YidZ,ArcA",ybiU,1266.0
b0822,ybiV,,859213,860028,-,sugar phosphatase,Function unknown,P75792,YciT,ybiV,816.0
b0823,ybiW,,860174,862606,-,putative pyruvate formate lyase,Energy production and conversion,P75793,,ybiYW,2433.0
b0824,ybiY,,862612,863511,-,putative pyruvate formate-lyase activating enzyme YbiY,"Post-translational modification, protein turnover,and chaperones",P75794,YciT,ybiYW,900.0
b0825,fsaA,,863642,864304,+,fructose-6-phosphate aldolase 1,Carbohydrate transport and metabolism,P78055,,fsaA,663.0
b0826,moeB,,864380,865129,-,molybdopterin-synthase adenylyltransferase,Coenzyme transport and metabolism,P12282,"RpoD,YdcN,YidZ,YqhC,YbeF,NarL,ArcA,Fnr",moeAB,750.0
b0827,moeA,,865129,866364,-,molybdopterin molybdotransferase,Coenzyme transport and metabolism,P12281,"RpoD,YidZ,NarL,ArcA,Fnr,Nac",moeAB,1236.0
b0828,iaaA,,866568,867533,+,isoaspartyl dipeptidase proenzyme,Amino acid transport and metabolism,P37595,"ppGpp,Nac",iaaA-gsiABCD,966.0
b0829,gsiA,,867520,869391,+,glutathione ABC transporter ATP binding subunit GsiA,Inorganic ion transport and metabolism,P75796,ppGpp,iaaA-gsiABCD,1872.0
