,gene_name,accession,start,end,strand,gene_product,cog,uniprot,operon,regulator
PN96_RS06585,PN96_RS06585,NZ_CP009977.1,1418754,1420553,+,amidohydrolase,Function unknown,UPI0003573E46,Op1665,
PN96_RS06590,PN96_RS06590,NZ_CP009977.1,1420921,1421346,+,septal ring lytic transglycosylase RlpA family protein,Cell wall/membrane/envelope biogenesis,UPI000675C341,Op1667,
PN96_RS06595,PN96_RS06595,NZ_CP009977.1,1421433,1422050,-,LysE family translocator,Amino acid transport and metabolism,UPI000358084D,Op1668,
PN96_RS06600,PN96_RS06600,NZ_CP009977.1,1422165,1423142,+,helix-turn-helix domain-containing protein,Transcription,UPI0003574234,Op1669,
PN96_RS06605,PN96_RS06605,NZ_CP009977.1,1423330,1423713,-,energy transducer TonB,Cell wall/membrane/envelope biogenesis,UPI000243C1E3,Op1670,
PN96_RS06610,PN96_RS06610,NZ_CP009977.1,1423999,1424280,+,YhdT family protein,Function unknown,A0A3B7CSK6,Op1672,
PN96_RS06615,panF,NZ_CP009977.1,1424273,1425736,+,sodium/pantothenate symporter,Coenzyme transport and metabolism,UPI0003581316,Op1672,
PN96_RS06620,PN96_RS06620,NZ_CP009977.1,1426305,1427609,-,carbohydrate porin,No COG annotation,UPI000357F0DF,Op1674,
PN96_RS06625,ascB,NZ_CP009977.1,1427695,1429113,-,6-phospho-beta-glucosidase,Carbohydrate transport and metabolism,UPI000358099C,Op1676,
PN96_RS06630,PN96_RS06630,NZ_CP009977.1,1429127,1430512,-,PTS transporter subunit EIIC,Carbohydrate transport and metabolism,UPI0003578563,Op1676,
PN96_RS06635,PN96_RS06635,NZ_CP009977.1,1431226,1432260,+,LacI family transcriptional regulator,Transcription,UPI000408CCD2,Op1679,
PN96_RS06640,PN96_RS06640,NZ_CP009977.1,1432511,1433425,+,DMT family transporter,Amino acid transport and metabolism,A0A3B7CX23,Op1681,
PN96_RS06645,PN96_RS06645,NZ_CP009977.1,1433674,1434606,+,helix-turn-helix domain-containing protein,Transcription,A0A3B7CQK0,Op1682,
PN96_RS06650,PN96_RS06650,NZ_CP009977.1,1434690,1435676,-,sugar ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,A0A3B7CRA8,Op1684,
PN96_RS06655,PN96_RS06655,NZ_CP009977.1,1435701,1436657,-,ABC transporter permease,Carbohydrate transport and metabolism,UPI0003578812,Op1684,
PN96_RS06660,PN96_RS06660,NZ_CP009977.1,1436670,1437659,-,ABC transporter permease,Carbohydrate transport and metabolism,UPI0003570979,Op1684,
PN96_RS06665,PN96_RS06665,NZ_CP009977.1,1437656,1439155,-,sugar ABC transporter ATP-binding protein,Carbohydrate transport and metabolism,UPI000358277E,Op1684,
PN96_RS06670,PN96_RS06670,NZ_CP009977.1,1439471,1440346,-,arginase family protein,Amino acid transport and metabolism,UPI0003571377,Op1688,
PN96_RS06675,PN96_RS06675,NZ_CP009977.1,1440387,1441040,-,cyclase family protein,Function unknown,A0A3B7CQD0,Op1688,
PN96_RS06680,PN96_RS06680,NZ_CP009977.1,1441183,1442160,-,zinc-binding alcohol dehydrogenase family protein,Energy production and conversion,UPI0003575E03,Op1690,
PN96_RS06685,PN96_RS06685,NZ_CP009977.1,1442285,1443217,-,helix-turn-helix domain-containing protein,Transcription,A0A3B7D280,Op1693,
PN96_RS06690,PN96_RS06690,NZ_CP009977.1,1443555,1444505,+,AraC family transcriptional regulator,Transcription,UPI0003577E9B,Op1695,
PN96_RS06695,PN96_RS06695,NZ_CP009977.1,1444569,1444901,-,EthD domain-containing protein,No COG annotation,UPI000357DCBC,Op1697,
PN96_RS06700,PN96_RS06700,NZ_CP009977.1,1445161,1446399,+,MFS transporter,Amino acid transport and metabolism,UPI0003582A89,Op1699,
PN96_RS06705,PN96_RS06705,NZ_CP009977.1,1446473,1447345,+,arginase family protein,Amino acid transport and metabolism,UPI000356E35B,Op1701,
PN96_RS06710,PN96_RS06710,NZ_CP009977.1,1447528,1447818,-,hypothetical protein,No COG annotation,A0A3B7CS79,Op1702,
PN96_RS23865,PN96_RS23865,NZ_CP009977.1,1448481,1448618,+,hypothetical protein,No COG annotation,UPI00040428B1,Op1704,
PN96_RS23870,PN96_RS23870,NZ_CP009977.1,1448631,1448807,+,hypothetical protein,Signal transduction mechanisms,UPI0003571AE1,Op1704,
PN96_RS06715,PN96_RS06715,NZ_CP009977.1,1448880,1450076,-,MFS transporter,Amino acid transport and metabolism,A0A3B7CSH4,Op1705,
PN96_RS06720,PN96_RS06720,NZ_CP009977.1,1450482,1450734,+,transposase domain-containing protein,No COG annotation,,Op1707,
PN96_RS06725,PN96_RS06725,NZ_CP009977.1,1450892,1452211,-,c-type cytochrome,Energy production and conversion,UPI0003580AAE,Op1709,
PN96_RS06730,PN96_RS06730,NZ_CP009977.1,1452218,1453987,-,GMC family oxidoreductase,Amino acid transport and metabolism,UPI0003575C88,Op1709,
PN96_RS06735,PN96_RS06735,NZ_CP009977.1,1454005,1454730,-,gluconate 2-dehydrogenase subunit 3 family protein,Function unknown,UPI0003579E56,Op1709,
PN96_RS23660,PN96_RS23660,NZ_CP009977.1,1455475,1455792,+,DDE-type integrase/transposase/recombinase,No COG annotation,,Op1713,
PN96_RS06750,PN96_RS06750,NZ_CP009977.1,1456406,1456744,-,hypothetical protein,No COG annotation,A0A1B1EBW3,Op1714,
PN96_RS06755,PN96_RS06755,NZ_CP009977.1,1456911,1457573,-,DUF2726 domain-containing protein,"Replication, recombination and repair",UPI0003582E65,Op1715,
PN96_RS06760,hmgB,NZ_CP009977.1,1457717,1458385,-,maleylacetoacetate isomerase,"Post-translational modification, protein turnover, and chaperones",UPI0003574150,Op1716,TyrR
PN96_RS06765,hmgC,NZ_CP009977.1,1458400,1459437,-,fumarylacetoacetate hydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",UPI0003570F54,Op1716,TyrR
PN96_RS06770,hmgA,NZ_CP009977.1,1459447,1460577,-,homogentisate 1%2C2-dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",UPI000357C2B3,Op1716,TyrR
PN96_RS06775,hppD,NZ_CP009977.1,1460570,1461643,-,4-hydroxyphenylpyruvate dioxygenase,Energy production and conversion,UPI0003575749,Op1716,TyrR
PN96_RS06780,PN96_RS06780,NZ_CP009977.1,1462174,1463280,+,M20/M25/M40 family metallo-hydrolase,Amino acid transport and metabolism,UPI0003582C39,Op1720,
PN96_RS06785,PN96_RS06785,NZ_CP009977.1,1463463,1463900,+,hypothetical protein,No COG annotation,A0A1B1EBV5,Op1722,
PN96_RS06790,PN96_RS06790,NZ_CP009977.1,1464048,1465130,-,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,UPI000356F61D,Op1723,
PN96_RS06795,PN96_RS06795,NZ_CP009977.1,1465312,1466364,+,iron ABC transporter permease,Inorganic ion transport and metabolism,A0A1B1EBV9,Op1725,
PN96_RS06800,PN96_RS06800,NZ_CP009977.1,1466367,1467134,+,ABC transporter ATP-binding protein,Coenzyme transport and metabolism,UPI0004265DD9,Op1725,
PN96_RS06805,PN96_RS06805,NZ_CP009977.1,1467249,1467893,-,hypothetical protein,No COG annotation,UPI000357220D,Op1727,
PN96_RS06810,PN96_RS06810,NZ_CP009977.1,1467927,1468406,-,DUF2059 domain-containing protein,Function unknown,UPI000357FFEB,Op1727,
PN96_RS06815,PN96_RS06815,NZ_CP009977.1,1468503,1469294,-,hypothetical protein,No COG annotation,UPI0003574293,Op1729,
PN96_RS06820,PN96_RS06820,NZ_CP009977.1,1469652,1470440,-,aminoglycoside phosphotransferase family protein,Function unknown,UPI0003573584,Op1730,
PN96_RS06825,PN96_RS06825,NZ_CP009977.1,1470517,1470777,-,nicotinamide mononucleotide transporter,Function unknown,UPI000356F8E4,Op1731,
PN96_RS06830,PN96_RS06830,NZ_CP009977.1,1470857,1471237,-,hypothetical protein,No COG annotation,UPI0003579389,Op1733,
PN96_RS23875,PN96_RS23875,NZ_CP009977.1,1471250,1471405,-,hypothetical protein,No COG annotation,UPI000357CD9F,Op1733,
PN96_RS06835,PN96_RS06835,NZ_CP009977.1,1471522,1471965,-,N-acetyltransferase,Transcription,UPI00035750A4,Op1734,
PN96_RS06840,PN96_RS06840,NZ_CP009977.1,1472117,1472497,-,hypothetical protein,No COG annotation,UPI000357C73F,Op1735,
PN96_RS06845,PN96_RS06845,NZ_CP009977.1,1472646,1473392,-,hypothetical protein,No COG annotation,UPI0004F36883,Op1736,
PN96_RS06850,PN96_RS06850,NZ_CP009977.1,1474318,1474575,-,hypothetical protein,No COG annotation,A0A3B7CQG0,Op1738,
PN96_RS06855,rlmF,NZ_CP009977.1,1474777,1475901,-,23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF,"Translation, ribosomal structure and biogenesis",UPI00035812A5,Op1740,
PN96_RS06860,PN96_RS06860,NZ_CP009977.1,1475888,1476403,-,M48 family metallopeptidase,Function unknown,A0A3B7CWV2,Op1740,
PN96_RS06865,PN96_RS06865,NZ_CP009977.1,1476553,1476783,+,glutaredoxin family protein,"Post-translational modification, protein turnover, and chaperones",A0A1B1ECH5,Op1741,
PN96_RS06870,PN96_RS06870,NZ_CP009977.1,1476791,1477660,-,LysR family transcriptional regulator,Transcription,UPI000357D357,Op1742,
PN96_RS06875,PN96_RS06875,NZ_CP009977.1,1477772,1478995,+,MFS transporter,Amino acid transport and metabolism,UPI000357A55F,Op1744,
PN96_RS06880,PN96_RS06880,NZ_CP009977.1,1479062,1479643,+,DUF1415 domain-containing protein,Function unknown,UPI000243C1C6,Op1745,
PN96_RS06885,PN96_RS06885,NZ_CP009977.1,1479783,1480358,+,nucleoside triphosphate pyrophosphohydrolase family protein,Function unknown,A0A3B7CV48,Op1747,
PN96_RS06890,btuD,NZ_CP009977.1,1480440,1481207,-,vitamin B12 ABC transporter ATP-binding protein BtuD,Inorganic ion transport and metabolism,UPI0004A3C901,Op1749,
PN96_RS06895,btuC,NZ_CP009977.1,1481194,1482189,-,vitamin B12 ABC transporter permease BtuC,Coenzyme transport and metabolism,UPI0003578ADF,Op1749,
PN96_RS06900,PN96_RS06900,NZ_CP009977.1,1482302,1483330,-,succinylglutamate desuccinylase,Amino acid transport and metabolism,UPI000243C0C0,Op1751,
PN96_RS06905,PN96_RS06905,NZ_CP009977.1,1483640,1485445,-,M3 family oligoendopeptidase,Amino acid transport and metabolism,UPI000357443D,Op1752,
PN96_RS06910,cobC,NZ_CP009977.1,1485532,1486149,-,alpha-ribazole phosphatase,Carbohydrate transport and metabolism,UPI000243C0BE,Op1755,
PN96_RS06915,cobU,NZ_CP009977.1,1486161,1486694,-,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase,Coenzyme transport and metabolism,UPI000357DCBA,Op1755,
PN96_RS06920,PN96_RS06920,NZ_CP009977.1,1486691,1487491,-,adenosylcobinamide-GDP ribazoletransferase,Coenzyme transport and metabolism,UPI0003582D9B,Op1755,
PN96_RS06925,cobT,NZ_CP009977.1,1487491,1488534,-,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,Nucleotide transport and metabolism,A0A1B1EBT4,Op1755,
PN96_RS06930,PN96_RS06930,NZ_CP009977.1,1488553,1489164,-,flavin reductase family protein,Function unknown,A0A3B7CRR1,Op1755,
PN96_RS06935,PN96_RS06935,NZ_CP009977.1,1489451,1490140,+,NAD(P)H-binding protein,Carbohydrate transport and metabolism,UPI000356F71F,Op1759,
PN96_RS06940,PN96_RS06940,NZ_CP009977.1,1490328,1491707,+,L-cystine transporter,"Intracellular trafficking, secretion, and vesicular transport",UPI0003578CB3,Op1761,Crp
PN96_RS06945,PN96_RS06945,NZ_CP009977.1,1491901,1492374,-,GNAT family N-acetyltransferase,"Translation, ribosomal structure and biogenesis",UPI000357FCFE,Op1762,
PN96_RS06950,PN96_RS06950,NZ_CP009977.1,1492564,1493181,-,hypothetical protein,No COG annotation,UPI0003575005,Op1763,
PN96_RS06955,PN96_RS06955,NZ_CP009977.1,1493531,1494259,-,class I SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",UPI0003570C7D,Op1764,
PN96_RS06960,PN96_RS06960,NZ_CP009977.1,1494365,1494880,-,hypothetical protein,No COG annotation,UPI000357064C,Op1765,
PN96_RS06965,PN96_RS06965,NZ_CP009977.1,1495256,1495765,-,DUF4145 domain-containing protein,Function unknown,UPI00035834B0,Op1767,
PN96_RS06970,PN96_RS06970,NZ_CP009977.1,1495937,1496122,-,hypothetical protein,No COG annotation,A0A3B7CWT2,Op1768,
PN96_RS06975,PN96_RS06975,NZ_CP009977.1,1496811,1498127,-,SGNH/GDSL hydrolase family protein,No COG annotation,UPI000357551C,Op1770,
PN96_RS06980,PN96_RS06980,NZ_CP009977.1,1498273,1498899,-,hypothetical protein,No COG annotation,UPI000356E458,Op1771,
PN96_RS06985,PN96_RS06985,NZ_CP009977.1,1498896,1500590,-,hypothetical protein,No COG annotation,UPI00035786CB,Op1771,
PN96_RS06990,PN96_RS06990,NZ_CP009977.1,1500597,1505585,-,hypothetical protein,No COG annotation,UPI0003571893,Op1771,
PN96_RS06995,PN96_RS06995,NZ_CP009977.1,1505589,1506140,-,DUF2163 domain-containing protein,No COG annotation,UPI0003579B03,Op1771,
PN96_RS07000,PN96_RS07000,NZ_CP009977.1,1506137,1506733,-,hypothetical protein,No COG annotation,UPI0003577D20,Op1771,
PN96_RS07005,PN96_RS07005,NZ_CP009977.1,1506733,1508964,-,hypothetical protein,Function unknown,UPI000357577B,Op1771,
PN96_RS07010,PN96_RS07010,NZ_CP009977.1,1508945,1509229,-,hypothetical protein,No COG annotation,UPI00035791AF,Op1771,
PN96_RS07015,PN96_RS07015,NZ_CP009977.1,1509295,1509735,-,hypothetical protein,No COG annotation,UPI000356E5EC,Op1774,
PN96_RS07020,PN96_RS07020,NZ_CP009977.1,1509741,1510241,-,tail protein,Cell motility,UPI000356F496,Op1774,
PN96_RS07025,PN96_RS07025,NZ_CP009977.1,1510244,1510690,-,hypothetical protein,No COG annotation,UPI000357598B,Op1774,
PN96_RS07030,PN96_RS07030,NZ_CP009977.1,1510680,1511312,-,phage tail protein,Function unknown,UPI0003575941,Op1774,
PN96_RS07035,PN96_RS07035,NZ_CP009977.1,1511309,1511587,-,hypothetical protein,No COG annotation,UPI0003572F65,Op1774,
PN96_RS07040,PN96_RS07040,NZ_CP009977.1,1511580,1511771,-,hypothetical protein,No COG annotation,UPI00035722D7,Op1774,
PN96_RS07045,PN96_RS07045,NZ_CP009977.1,1511832,1513802,-,phage major capsid protein,Function unknown,UPI000357CB00,Op1777,
PN96_RS07050,PN96_RS07050,NZ_CP009977.1,1513774,1515327,-,phage portal protein,Function unknown,UPI00035713AA,Op1779,
PN96_RS07055,PN96_RS07055,NZ_CP009977.1,1515327,1515854,-,hypothetical protein,No COG annotation,UPI00035763FA,Op1779,
PN96_RS07060,PN96_RS07060,NZ_CP009977.1,1515848,1517785,-,phage terminase large subunit family protein,Function unknown,UPI0009789CB5,Op1779,
PN96_RS07065,PN96_RS07065,NZ_CP009977.1,1517796,1518365,-,terminase small subunit,No COG annotation,UPI00035765DB,Op1779,
PN96_RS07070,PN96_RS07070,NZ_CP009977.1,1518804,1519877,-,tyrosine-type recombinase/integrase,"Replication, recombination and repair",UPI001268F5BB,Op1782,
PN96_RS07075,PN96_RS07075,NZ_CP009977.1,1520138,1520323,-,hypothetical protein,No COG annotation,UPI0003580537,Op1783,
PN96_RS07080,PN96_RS07080,NZ_CP009977.1,1520365,1520823,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,UPI0003581F46,Op1784,
PN96_RS07085,PN96_RS07085,NZ_CP009977.1,1520789,1521070,-,hypothetical protein,No COG annotation,UPI000356F641,Op1784,
PN96_RS07090,PN96_RS07090,NZ_CP009977.1,1521200,1521877,-,hypothetical protein,No COG annotation,UPI000357948A,Op1785,
PN96_RS07095,PN96_RS07095,NZ_CP009977.1,1521931,1522368,-,hypothetical protein,No COG annotation,UPI000357A004,Op1786,
PN96_RS07100,PN96_RS07100,NZ_CP009977.1,1522726,1523409,-,GIY-YIG nuclease family protein,No COG annotation,UPI000357194E,Op1788,
PN96_RS07105,PN96_RS07105,NZ_CP009977.1,1523541,1524161,-,hypothetical protein,No COG annotation,UPI0003575228,Op1789,
PN96_RS07110,PN96_RS07110,NZ_CP009977.1,1524337,1524918,-,hypothetical protein,No COG annotation,UPI000357FF42,Op1791,
PN96_RS07115,PN96_RS07115,NZ_CP009977.1,1524919,1525650,-,ATP-binding protein,"Replication, recombination and repair",UPI00035806D6,Op1791,
PN96_RS07120,PN96_RS07120,NZ_CP009977.1,1525647,1526420,-,helix-turn-helix domain-containing protein,No COG annotation,UPI0003580DA9,Op1791,
PN96_RS07125,PN96_RS07125,NZ_CP009977.1,1526633,1527181,-,hypothetical protein,Function unknown,UPI000357BD2D,Op1792,
PN96_RS07130,PN96_RS07130,NZ_CP009977.1,1527228,1527461,-,helix-turn-helix domain-containing protein,Transcription,UPI00035730D5,Op1793,
PN96_RS07135,PN96_RS07135,NZ_CP009977.1,1527552,1528220,+,LexA family transcriptional regulator,Transcription,UPI000357CBD2,Op1794,
PN96_RS23665,PN96_RS23665,NZ_CP009977.1,1528441,1528869,+,hypothetical protein,No COG annotation,UPI000356E0A2,Op1795,
PN96_RS07145,PN96_RS07145,NZ_CP009977.1,1529195,1529467,+,hypothetical protein,No COG annotation,UPI00035749B4,Op1796,
PN96_RS07150,PN96_RS07150,NZ_CP009977.1,1529629,1529871,+,hypothetical protein,No COG annotation,UPI00035754D2,Op1797,
PN96_RS07155,PN96_RS07155,NZ_CP009977.1,1529868,1530269,+,hypothetical protein,No COG annotation,UPI0003582609,Op1797,
PN96_RS23880,PN96_RS23880,NZ_CP009977.1,1530244,1530402,+,hypothetical protein,No COG annotation,UPI0003577E5E,Op1799,
PN96_RS07160,PN96_RS07160,NZ_CP009977.1,1530473,1530748,+,hypothetical protein,No COG annotation,UPI0004F32DE3,Op1800,
PN96_RS07165,PN96_RS07165,NZ_CP009977.1,1530988,1531497,-,hypothetical protein,No COG annotation,UPI0007226537,Op1801,
PN96_RS07170,PN96_RS07170,NZ_CP009977.1,1531854,1532177,-,hypothetical protein,No COG annotation,UPI000358199E,Op1803,
PN96_RS07175,PN96_RS07175,NZ_CP009977.1,1532267,1533310,-,hypothetical protein,No COG annotation,UPI0003579E35,Op1804,
PN96_RS07180,PN96_RS07180,NZ_CP009977.1,1533423,1534274,-,hypothetical protein,No COG annotation,UPI0012684F7C,Op1806,
PN96_RS07185,PN96_RS07185,NZ_CP009977.1,1534415,1535611,-,site-specific integrase,"Replication, recombination and repair",UPI000357F116,Op1808,
PN96_RS07190,sbcB,NZ_CP009977.1,1535794,1537215,+,exodeoxyribonuclease I,"Replication, recombination and repair",UPI000357E592,Op1810,
PN96_RS07195,PN96_RS07195,NZ_CP009977.1,1537274,1537648,+,CidA/LrgA family protein,Function unknown,A0A1B1EBS2,Op1812,
PN96_RS07200,PN96_RS07200,NZ_CP009977.1,1537650,1538327,+,LrgB family protein,Cell wall/membrane/envelope biogenesis,A0A1B1EBT9,Op1812,
PN96_RS07205,cdd,NZ_CP009977.1,1538657,1539544,+,cytidine deaminase,Nucleotide transport and metabolism,UPI00035788BF,Op1814,"Crp,FNR,TfoX"
PN96_RS07210,purT,NZ_CP009977.1,1539692,1540867,+,formate-dependent phosphoribosylglycinamide formyltransferase,Nucleotide transport and metabolism,UPI00035734AC,Op1816,PurR
PN96_RS07215,PN96_RS07215,NZ_CP009977.1,1540959,1541609,-,thiopurine S-methyltransferase,Coenzyme transport and metabolism,UPI00035823FD,Op1818,
PN96_RS07220,PN96_RS07220,NZ_CP009977.1,1541925,1542701,+,phosphoribosylglycinamide formyltransferase,Cell wall/membrane/envelope biogenesis,UPI000357B53A,Op1820,
PN96_RS07225,ihfA,NZ_CP009977.1,1542819,1543115,-,integration host factor subunit alpha,Transcription,A0A072JXR6,Op1822,
PN96_RS07230,PN96_RS07230,NZ_CP009977.1,1543658,1544536,+,AEC family transporter,Function unknown,A0A3B7CR41,Op1823,
PN96_RS07235,PN96_RS07235,NZ_CP009977.1,1544554,1545549,-,LacI family DNA-binding transcriptional regulator,Transcription,UPI00035772F0,Op1825,
PN96_RS07245,PN96_RS07245,NZ_CP009977.1,1545794,1546711,+,aminoimidazole riboside kinase,Carbohydrate transport and metabolism,UPI0003576505,Op1826,
PN96_RS07250,PN96_RS07250,NZ_CP009977.1,1546775,1548406,-,glycoside hydrolase family 32 protein,Carbohydrate transport and metabolism,UPI000356F964,Op1827,
PN96_RS07255,pheT,NZ_CP009977.1,1548686,1551088,-,phenylalanine--tRNA ligase subunit beta,"Translation, ribosomal structure and biogenesis",UPI000357DEB1,Op1830,
PN96_RS07260,pheS,NZ_CP009977.1,1551107,1552090,-,phenylalanine--tRNA ligase subunit alpha,"Translation, ribosomal structure and biogenesis",A0A1B1EBQ6,Op1830,
PN96_RS07265,PN96_RS07265,NZ_CP009977.1,1552470,1553279,-,helix-turn-helix domain-containing protein,Transcription,A0A1B1EBR8,Op1830,
PN96_RS07270,rplT,NZ_CP009977.1,1553921,1554274,-,50S ribosomal protein L20,"Translation, ribosomal structure and biogenesis",A0A072I4L0,Op1833,
PN96_RS07275,rpmI,NZ_CP009977.1,1554315,1554509,-,50S ribosomal protein L35,"Translation, ribosomal structure and biogenesis",A0A0C3HML6,Op1833,
PN96_RS07280,infC,NZ_CP009977.1,1554631,1555182,-,translation initiation factor IF-3,"Translation, ribosomal structure and biogenesis",A0A3B7CR31,Op1835,
PN96_RS07285,thrS,NZ_CP009977.1,1555186,1557114,-,threonine--tRNA ligase,"Translation, ribosomal structure and biogenesis",UPI000243C09E,Op1835,
PN96_RS07290,PN96_RS07290,NZ_CP009977.1,1557433,1558419,+,DUF3187 family protein,Function unknown,UPI0004628959,Op1837,
PN96_RS07295,PN96_RS07295,NZ_CP009977.1,1558424,1559167,-,sporulation protein,Function unknown,UPI000243C09C,Op1840,
PN96_RS07300,hutC,NZ_CP009977.1,1559431,1560138,+,histidine utilization repressor,Transcription,A0A1B1EBQ2,Op1842,"HutC ,TfoX"
PN96_RS07305,hutI,NZ_CP009977.1,1560266,1561516,+,imidazolonepropionase,Nucleotide transport and metabolism,UPI000243BFB8,Op1844,HutC 
PN96_RS07310,hutG,NZ_CP009977.1,1561518,1562516,+,formimidoylglutamase,Amino acid transport and metabolism,UPI000357B0DF,Op1844,HutC 
PN96_RS07315,PN96_RS07315,NZ_CP009977.1,1562817,1563542,+,DUF3581 domain-containing protein,Function unknown,A0A1B1EBP5,Op1848,
PN96_RS07320,PN96_RS07320,NZ_CP009977.1,1563610,1564596,-,glutathione S-transferase C-terminal domain-containing protein,"Post-translational modification, protein turnover, and chaperones",UPI000357781E,Op1850,
