,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator
PA1962,azoR2,,2145894,2146502,+,FMN-dependent NADH-azoreductase,Lipid transport and metabolism,Q9I2E2,
PA1963,PA1963,,2146609,2146875,+,hypothetical protein,No COG annotation,Q9I2E1,
PA1964,PA1964,,2146961,2148526,-,ABC-F family ATPase,Function unknown,Q9I2E0,
PA1965,PA1965,,2148854,2149189,+,hypothetical protein,No COG annotation,Q9I2D9,
PA1966,PA1966,,2149472,2149843,+,hypothetical protein,Amino acid transport and metabolism,Q9I2D8,
PA1967,PA1967,,2149864,2150364,-,hypothetical protein,No COG annotation,Q9I2D7,
PA1968,PA1968,,2150524,2150781,+,hypothetical protein,No COG annotation,Q9I2D6,
PA1969,PA1969,,2150828,2151220,+,hypothetical protein,Function unknown,Q9I2D5,
PA1970,PA1970,,2151287,2151526,-,hypothetical protein,No COG annotation,Q9I2D4,
PA1971,braZ,,2151755,2153068,-,branched-chain amino acid transport system 3 carrier protein,"Intracellular trafficking, secretion, and vesicular transport",P25185,
PA1972,PA1972,,2153594,2155297,+,hypothetical protein,Function unknown,Q9I2D3,
PA1973,pqqF,,2155374,2157701,+,coenzyme PQQ synthesis protein F,"Post-translational modification, protein turnover,and chaperones",Q9I2D2,
PA1974,PA1974,,2157968,2159167,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9I2D1,
PA1975,PA1975,,2159270,2160433,+,hypothetical protein,Function unknown,Q9I2D0,
PA1976,ercS',,2160363,2163008,+,sensor histidine kinase,Signal transduction mechanisms,Q9I2C9,
PA1977,PA1977,,2163010,2163873,-,hypothetical protein,Amino acid transport and metabolism,P29370,
PA1978,erbR,,2163883,2164548,-,glycerol metabolism activator,Transcription,P29369,
PA1979,eraS,,2165213,2165863,+,sensor kinase EraS,Signal transduction mechanisms,Q9I2C8,ErbR
PA1980,eraR,,2165876,2166553,+,response regulator EraR,Signal transduction mechanisms,Q9I2C7,ErbR
PA1981,PA1981,,2166580,2167227,-,hypothetical protein,Function unknown,Q9I2C6,
PA1982,exaA,,2167281,2169152,-,quinoprotein ethanol dehydrogenase,Carbohydrate transport and metabolism,Q9Z4J7,"AgmR,ErbR"
PA1983,exaB,,2169464,2169901,+,cytochrome C550,Energy production and conversion,Q9I2C5,"AgmR,ErbR"
PA1984,exaC,,2169988,2171508,+,NAD+ dependent aldehyde dehydrogenase ExaC,Energy production and conversion,Q9I2C4,"AgmR,EatR,RpoN,ErbR"
PA1985,pqqA,,2171865,2171936,+,coenzyme PQQ synthesis protein A,No COG annotation,Q9ZAA0,"ErbR,ErbR"
PA1986,pqqB,,2171989,2172903,+,coenzyme PQQ synthesis protein B,Function unknown,Q9I2C3,"ErbR,ErbR"
PA1987,pqqC,,2172913,2173665,+,pyrroloquinoline-quinone synthase,Coenzyme transport and metabolism,Q9I2C2,"ErbR,ErbR"
PA1988,pqqD,,2173662,2173940,+,coenzyme PQQ synthesis protein D,Function unknown,Q9I2C1,"ErbR,ErbR"
PA1989,pqqE,,2173912,2175057,+,coenzyme PQQ synthesis protein E,Coenzyme transport and metabolism,Q9I2C0,"ErbR,ErbR"
PA1990,pqqH,,2175062,2176888,+,peptidase,Amino acid transport and metabolism,Q9I2B9,"ErbR,ErbR"
PA1991,PA1991,,2176974,2178137,+,iron-containing alcohol dehydrogenase,Energy production and conversion,Q9I2B8,
PA1992,ercS,,2178121,2179815,+,sensor histidine kinase,Signal transduction mechanisms,Q9I2B7,
PA1993,PA1993,,2179848,2181056,-,hypothetical protein,Amino acid transport and metabolism,Q9I2B6,
PA1994,PA1994,,2181181,2181744,-,hypothetical protein,Function unknown,Q9I2B5,
PA1995,PA1995,,2181741,2182097,-,hypothetical protein,Function unknown,Q9I2B4,
PA1996,ppiC1,,2182116,2182394,-,peptidyl-prolyl cis-trans isomerase C1,"Post-translational modification, protein turnover,and chaperones",Q9I2B3,
PA1997,PA1997,,2182452,2184407,-,acetoacetyl-CoA synthetase,Lipid transport and metabolism,Q9I2B2,
PA1998,dhcR,,2184475,2185395,-,transcriptional regulator DhcR,Transcription,Q9I2B1,
PA1999,dhcA,,2185527,2186225,+,dehydrocarnitine CoA transferase subunit A,Lipid transport and metabolism,Q9I2B0,"DhcR,PhhR"
PA2000,dhcB,,2186260,2186916,+,dehydrocarnitine CoA transferase subunit B,Lipid transport and metabolism,Q9I2A9,"DhcR,PhhR"
PA2001,atoB,,2187065,2188246,+,acetyl-CoA acetyltransferase,Lipid transport and metabolism,Q9I2A8,DhcR
PA2002,PA2002,,2188459,2189883,+,hypothetical protein,Lipid transport and metabolism,Q9I2A7,
PA2003,bdhA,,2190084,2190854,-,3-hydroxybutyrate dehydrogenase,Lipid transport and metabolism,Q9I2A6,
PA2004,PA2004,,2190891,2192282,-,hypothetical protein,Amino acid transport and metabolism,Q9I2A5,
PA2005,PA2005,,2192544,2193989,-,transcriptional regulator,Transcription,Q9I2A4,
PA2006,PA2006,,2194058,2195410,-,major facilitator superfamily transporter,Carbohydrate transport and metabolism,Q9I2A3,HmgR
PA2007,maiA,,2195494,2196132,-,maleylacetoacetate isomerase,"Post-translational modification, protein turnover,and chaperones",P57109,HmgR
PA2008,fahA,,2196129,2197427,-,fumarylacetoacetase,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I2A2,HmgR
PA2009,hmgA,,2197432,2198730,-,homogentisate 1%2C2-dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",Q9X4G0,HmgR
PA2010,hmgR,,2198891,2199694,+,transcriptional regulator,Transcription,Q9I2A1,HmgR
PA2011,liuE,,2199762,2200664,-,3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase,Amino acid transport and metabolism,Q9I2A0,LiuR
PA2012,liuD,,2200685,2202652,-,methylcrotonyl-CoA carboxylase subunit alpha,Lipid transport and metabolism,Q9I299,LiuR
PA2013,liuC,,2202649,2203446,-,gamma-carboxygeranoyl-CoA hydratase,Lipid transport and metabolism,Q9I298,LiuR
PA2014,liuB,,2203460,2205067,-,methylcrotonyl-CoA carboxylase subunit beta,Lipid transport and metabolism,Q9I297,LiuR
PA2015,liuA,,2205190,2206353,-,isovaleryl-CoA dehydrogenase,Lipid transport and metabolism,Q9I296,LiuR
PA2016,liuR,,2206402,2206806,-,liu genes regulator,Transcription,Q9I295,LiuR
PA2017,PA2017,,2206999,2207928,+,hypothetical protein,Function unknown,Q9I294,
PA2018,PA2018,,2208169,2211306,-,multidrug efflux protein,"Intracellular trafficking, secretion, and vesicular transport",G3XCW2,MexZ
PA2019,PA2019,,2211322,2212512,-,multidrug efflux lipoprotein,Cell wall/membrane/envelope biogenesis,G3XD21,MexZ
PA2020,mexZ,,2212677,2213309,+,transcriptional regulator,Transcription,G3XCU9,
PA2021,PA2021,,2213315,2213539,-,hypothetical protein,Function unknown,Q9I293,
PA2022,PA2022,,2213693,2215054,+,UDP-glucose 6-dehydrogenase,Cell wall/membrane/envelope biogenesis,O86422,
PA2023,galU,,2215102,2215941,+,UTP-glucose-1-phosphate uridylyltransferase,Cell wall/membrane/envelope biogenesis,Q9I291,
PA2024,PA2024,,2216121,2216543,-,ring-cleaving dioxygenase,Amino acid transport and metabolism,P23205,
PA2025,gor,,2216688,2218043,+,glutathione reductase,Energy production and conversion,P23189,
PA2026,PA2026,,2218098,2219099,-,hypothetical protein,Function unknown,P39879,
PA2027,PA2027,,2219253,2219645,-,hypothetical protein,No COG annotation,Q9I288,
PA2028,PA2028,,2219778,2220251,+,transcriptional regulator,Transcription,Q9I287,
PA2029,PA2029,,2220275,2220574,+,hypothetical protein,Function unknown,Q9I286,
PA2030,PA2030,,2220649,2220906,-,hypothetical protein,No COG annotation,Q9I285,
PA2031,PA2031,,2220903,2221157,-,hypothetical protein,No COG annotation,Q9I284,YjiR
PA2032,PA2032,,2221337,2222761,+,transcriptional regulator,Transcription,Q9I283,
PA2033,PA2033,,2222896,2223804,+,hypothetical protein,Inorganic ion transport and metabolism,Q9I282,
PA2034,PA2034,,2223804,2224478,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I281,
PA2035,PA2035,,2224486,2226144,-,thiamine pyrophosphate protein,Amino acid transport and metabolism,Q9I280,
PA2036,PA2036,,2226879,2227400,+,hypothetical protein,No COG annotation,Q9I279,
PA2037,PA2037,,2227541,2229001,+,hypothetical protein,No COG annotation,Q9I278,
PA2038,PA2038,,2229126,2229440,-,hypothetical protein,Function unknown,Q9I277,
PA2039,PA2039,,2229425,2230183,-,hypothetical protein,Amino acid transport and metabolism,Q9I276,
PA2040,PA2040,,2230689,2232065,+,glutamine synthetase,Amino acid transport and metabolism,Q9I275,
PA2041,PA2041,,2232222,2233592,+,amino acid permease,Amino acid transport and metabolism,Q9I274,
PA2042,PA2042,,2234080,2235309,+,serine/threonine transporter SstT,Amino acid transport and metabolism,Q9I273,
PA2043,PA2043,,2235430,2236332,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",Q9I272,
PA2044,PA2044,,2236492,2238366,-,hypothetical protein,Amino acid transport and metabolism,Q9I271,
PA2045,PA2045,,2238541,2238801,-,membrane protein insertion efficiency factor,Function unknown,Q9I270,
PA2047,PA2047,,2240302,2241291,-,transcriptional regulator,Transcription,Q9I268,
PA2048,PA2048,,2241816,2242112,+,hypothetical protein,Function unknown,UPI000039696D,
PA2049,PA2049,,2242170,2244164,-,hypothetical protein,Inorganic ion transport and metabolism,UPI00024E101C,
PA2050,PA2050,,2244492,2244998,+,RNA polymerase sigma factor,Transcription,Q9I265,
PA2051,PA2051,,2244995,2245948,+,transmembrane sensor,Inorganic ion transport and metabolism,Q9I264,
PA2052,cynS,,2245986,2246456,-,cyanate hydratase,Inorganic ion transport and metabolism,Q9I263,
PA2053,cynT,,2246496,2247158,-,carbonic anhydrase,Inorganic ion transport and metabolism,Q9I262,
PA2054,cynR,,2247273,2248160,+,DNA-binding transcriptional regulator CynR,Transcription,Q9I261,
PA2055,PA2055,,2248167,2249582,-,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9I260,
PA2056,PA2056,,2249693,2250595,+,transcriptional regulator,Transcription,Q9I259,
PA2057,PA2057,,2251275,2253815,+,hypothetical protein,Inorganic ion transport and metabolism,Q9I258,
PA2058,PA2058,,2253819,2255627,+,ABC transporter,Amino acid transport and metabolism,Q9I257,
PA2059,PA2059,,2255629,2256702,+,ABC transporter permease,Inorganic ion transport and metabolism,Q9I256,
PA2060,PA2060,,2256704,2257720,+,ABC transporter permease,Inorganic ion transport and metabolism,Q9I255,
PA2061,PA2061,,2257722,2259332,+,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q9I254,
PA2062,PA2062,,2259478,2260659,+,pyridoxal-phosphate dependent protein,Amino acid transport and metabolism,Q9I253,
PA2063,PA2063,,2260862,2262085,+,hypothetical protein,Function unknown,Q9I252,
PA2064,pcoB,,2262105,2263082,-,copper resistance protein B,Inorganic ion transport and metabolism,Q9I251,CopR
PA2065,pcoA,,2263079,2264977,-,copper resistance protein A,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I250,CopR
PA2066,PA2066,,2265126,2265764,-,hypothetical protein,Function unknown,Q9I249,
PA2067,PA2067,,2265761,2266429,-,hydrolase,Function unknown,Q9I248,
PA2068,PA2068,,2266431,2267594,-,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9I247,
PA2069,PA2069,,2267638,2269362,-,carbamoyl transferase,"Post-translational modification, protein turnover,and chaperones",Q9I246,
PA2070,PA2070,,2269542,2272184,-,hypothetical protein,Inorganic ion transport and metabolism,Q9I245,
PA2071,fusA2,,2272460,2274568,+,elongation factor G,"Translation, ribosomal structure and biogenesis",Q9I244,
PA2072,PA2072,,2274740,2277334,+,hypothetical protein,Signal transduction mechanisms,Q9I243,
PA2073,PA2073,,2277552,2278982,+,transporter membrane subunit,"Intracellular trafficking, secretion, and vesicular transport",Q9I242,
PA2074,PA2074,,2278982,2279794,+,hypothetical protein,Function unknown,Q9I241,
PA2075,PA2075,,2279917,2281578,-,hypothetical protein,Function unknown,Q9I240,
PA2076,PA2076,,2282480,2283382,+,transcriptional regulator,Transcription,Q9I239,
PA2077,PA2077,,2283419,2285323,-,hypothetical protein,Carbohydrate transport and metabolism,Q9I238,
PA2078,PA2078,,2285363,2287237,-,hypothetical protein,Energy production and conversion,Q9I237,
PA2079,PA2079,,2287523,2288929,-,amino acid permease,Amino acid transport and metabolism,Q9I236,
PA2080,kynU,,2289085,2290335,-,kynureninase KynU,Amino acid transport and metabolism,Q9I235,
PA2081,kynB,,2290339,2290980,-,kynurenine formamidase KynB,Function unknown,Q9I234,
PA2082,PA2082,,2291113,2291589,+,transcriptional regulator,Transcription,Q9I233,
PA2083,PA2083,,2291791,2293065,+,ring-hydroxylating dioxygenase subunit,Inorganic ion transport and metabolism,Q9I232,
PA2084,PA2084,,2293153,2294985,+,asparagine synthetase,Amino acid transport and metabolism,Q9I231,
PA2085,PA2085,,2295013,2295522,+,ring-hydroxylating dioxygenase small subunit,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I230,
PA2086,PA2086,,2295533,2296435,+,epoxide hydrolase,Function unknown,Q9I229,
PA2087,PA2087,,2296432,2297088,+,hypothetical protein,No COG annotation,Q9I228,
PA2088,PA2088,,2297072,2297920,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I227,
PA2089,PA2089,,2298012,2300663,+,hypothetical protein,Inorganic ion transport and metabolism,Q9I226,
PA2090,PA2090,,2300676,2301755,+,hypothetical protein,Energy production and conversion,Q9I225,
PA2091,PA2091,,2301752,2303035,+,hypothetical protein,Amino acid transport and metabolism,Q9I224,
PA2092,PA2092,,2303022,2304215,+,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9I223,
PA2093,PA2093,,2304318,2304827,+,RNA polymerase sigma factor,Transcription,Q9I222,
PA2094,PA2094,,2304824,2305780,+,transmembrane sensor,Inorganic ion transport and metabolism,Q9I221,
PA2095,PA2095,,2305782,2306627,-,hypothetical protein,No COG annotation,Q9I220,
PA2096,PA2096,,2306776,2307810,-,transcriptional regulator,Transcription,Q9I219,
PA2097,PA2097,,2307957,2309432,+,flavin-binding monooxygenase,Inorganic ion transport and metabolism,Q9I218,
PA2098,PA2098,,2309443,2310372,+,esterase,Lipid transport and metabolism,Q9I217,
PA2099,PA2099,,2310357,2311112,+,short-chain dehydrogenase,Function unknown,Q9I216,
PA2100,PA2100,,2311333,2312766,-,transcriptional regulator,Transcription,Q9I215,
PA2101,PA2101,,2312899,2313789,+,hypothetical protein,Amino acid transport and metabolism,Q9I214,PA2100
PA2102,PA2102,,2313791,2314249,+,hypothetical protein,Function unknown,Q9I213,PA2100
PA2103,PA2103,,2314512,2315690,+,molybdopterin biosynthesis protein MoeB,Coenzyme transport and metabolism,Q9I212,
PA2104,PA2104,,2315709,2316626,+,cysteine synthase,Amino acid transport and metabolism,Q9I211,
PA2105,PA2105,,2316708,2317403,+,acetyltransferase,Amino acid transport and metabolism,Q9I210,
PA2106,PA2106,,2317400,2318134,+,hypothetical protein,Function unknown,Q9I209,
PA2107,PA2107,,2318226,2318624,-,hypothetical protein,No COG annotation,Q9I208,
PA2108,PA2108,,2318795,2320567,+,thiamine pyrophosphate protein,Amino acid transport and metabolism,Q9I207,
PA2109,PA2109,,2320586,2321062,-,hypothetical protein,Function unknown,Q9I206,
PA2110,PA2110,,2321130,2322071,-,hypothetical protein,Amino acid transport and metabolism,Q9I205,AmiE
PA2111,PA2111,,2322068,2322781,-,hypothetical protein,Amino acid transport and metabolism,Q9I204,AmiE
PA2112,PA2112,,2322778,2323521,-,hypothetical protein,Function unknown,Q9I203,AmiE
PA2113,opdO,,2323554,2324783,-,pyroglutatmate porin OpdO,Function unknown,Q9I202,AmiE
PA2114,PA2114,,2324808,2326079,-,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9I201,AmiE
PA2115,PA2115,,2326334,2327287,+,transcriptional regulator,Transcription,Q9I200,
PA2116,PA2116,,2327394,2328191,+,hypothetical protein,Function unknown,Q9I1Z9,
PA2117,PA2117,,2328176,2329156,-,hypothetical protein,No COG annotation,Q9I1Z8,
PA2118,ada,,2329348,2330424,+,O6-methylguanine-DNA methyltransferase,Nucleotide transport and metabolism,Q9I1Z7,
PA2118a,PA2118a,,2330591,2330833,-,hypothetical protein,Carbohydrate transport and metabolism,UPI000045D279,
PA2119,PA2119,,2330959,2332059,-,alcohol dehydrogenase,Amino acid transport and metabolism,Q9I1Z6,
PA2120,PA2120,,2332392,2332820,-,hypothetical protein,Function unknown,Q9I1Z5,
PA2121,PA2121,,2332968,2333873,-,transcriptional regulator,Transcription,Q9I1Z4,
PA2122,PA2122,,2333999,2335135,+,hypothetical protein,Lipid transport and metabolism,Q9I1Z3,
PA2123,PA2123,,2335172,2336104,+,transcriptional regulator,Transcription,Q9I1Z2,
PA2124,PA2124,,2336209,2337846,+,dehydrogenase,Amino acid transport and metabolism,Q9I1Z1,
PA2125,PA2125,,2337868,2339316,+,aldehyde dehydrogenase,Energy production and conversion,Q9I1Z0,
PA2126,PA2126,,2339352,2339987,-,hypothetical protein,Transcription,Q9I1Y9,
PA2127,PA2127,,2340414,2341640,-,hypothetical protein,Function unknown,Q9I1Y8,
PA2128,cupA1,,2342493,2343044,+,fimbrial subunit CupA1,Cell motility,Q9I1Y7,MvaT
PA2129,cupA2,,2343132,2343878,+,chaperone CupA2,Cell motility,Q9I1Y6,MvaT
PA2130,cupA3,,2343862,2346480,+,usher CupA3,Cell motility,Q9I1Y5,MvaT
PA2131,cupA4,,2346477,2347838,+,fimbrial subunit CupA4,Cell motility,Q9I1Y4,MvaT
PA2132,cupA5,,2347828,2348541,+,chaperone CupA5,Cell motility,Q9I1Y3,MvaT
PA2133,PA2133,,2348538,2349395,+,hypothetical protein,Signal transduction mechanisms,Q9I1Y2,
PA2134,PA2134,,2349488,2350060,+,hypothetical protein,Function unknown,Q9I1Y1,RpoN
PA2135,PA2135,,2350089,2351453,+,transporter,Inorganic ion transport and metabolism,Q9I1Y0,RpoN
PA2136,PA2136,,2351906,2352430,-,hypothetical protein,No COG annotation,Q9I1X9,RpoN
PA2137,PA2137,,2352532,2353068,+,hypothetical protein,Signal transduction mechanisms,Q9I1X8,
PA2138,PA2138,,2353086,2355608,+,multifunctional non-homologous end joining protein LigD,"Replication, recombination and repair",Q9I1X7,
PA2140,PA2140,,2355918,2356157,+,metallothionein,Function unknown,Q9I1X5,RpoN
PA2141,PA2141,,2356168,2356716,+,hypothetical protein,Function unknown,Q9I1X4,RpoN
PA2142,PA2142,,2356713,2357573,+,short-chain dehydrogenase,Lipid transport and metabolism,Q9I1X3,RpoN
PA2142a,PA2142a,,2357593,2357781,-,hypothetical protein,No COG annotation,UPI0000E44AB8,
PA2143,PA2143,,2358024,2358311,+,hypothetical protein,Function unknown,Q9I1X2,RpoN
PA2144,glgP,,2358364,2360802,+,glycogen phosphorylase,Carbohydrate transport and metabolism,Q9I1X1,RpoN
PA2145,PA2145,,2360809,2361207,-,hypothetical protein,No COG annotation,Q9I1X0,
PA2146,PA2146,,2361706,2361873,+,hypothetical protein,No COG annotation,Q9I1W9,RpoN
PA2147,katE,,2361954,2364083,+,catalase HPII,Inorganic ion transport and metabolism,Q9I1W8,RpoN
PA2148,PA2148,,2364311,2364802,+,hypothetical protein,Function unknown,Q9I1W7,RpoN
PA2149,PA2149,,2364816,2365058,+,hypothetical protein,No COG annotation,Q9I1W6,RpoN
PA2150,PA2150,,2365081,2365962,+,non-homologous end joining protein Ku,"Replication, recombination and repair",Q9I1W5,RpoN
PA2151,PA2151,,2366106,2368100,+,alpha-1%2C4-glucan:maltose-1-phosphate maltosyltransferase,Carbohydrate transport and metabolism,Q9I1W4,RpoN
PA2152,PA2152,,2368111,2371413,+,trehalose synthase,Carbohydrate transport and metabolism,Q9I1W3,RpoN
PA2153,glgB,,2371410,2373608,+,1%2C4-alpha-glucan branching protein GlgB,Carbohydrate transport and metabolism,Q9I1W2,RpoN
PA2154,PA2154,,2373610,2374605,-,hypothetical protein,Function unknown,Q9I1W1,RpoN
